kgmp X,kgmp Y,kcgd X,kcgd Y,ids X,ids Y,rds X,rds Y,kcds X,kcds Y,kgds X,kgds Y,kcgs X,kcgs Y
2.915377,-9.874442691440617,2.915377,4.4071838077915e-11,2.915377,-2.960315983882891e-05,2.915377,81742.60536137001,2.915377,-7.68145099330627e-14,2.915377,-0.4132505632303369,2.915377,1.00599383910438e-10
3.042864,-9.874442691255357,3.042864,4.407183807588407e-11,3.042864,-3.089767915322992e-05,3.042864,78317.83740762601,3.042864,-7.681450992831795e-14,3.042864,-0.413250563223385,3.042864,1.005993839066106e-10
3.175925,-9.8744426910778,3.175925,4.407183807393764e-11,3.175925,-3.224880662239465e-05,3.175925,75036.55687383635,3.175925,-7.681450992378301e-14,3.175925,-0.413250563216723,3.175925,1.005993839029423e-10
3.314806,-9.874442690907655,3.314806,4.407183807207252e-11,3.314806,-3.365901766955548e-05,3.314806,71892.75207103818,3.314806,-7.681450991942924e-14,3.314806,-0.4132505632103396,3.314806,1.005993838994272e-10
3.459759,-9.874442690744697,3.459759,4.407183807028608e-11,3.459759,-3.513089596595543e-05,3.459759,68880.66318185744,3.459759,-7.681450991525792e-14,3.459759,-0.413250563204225,3.459759,1.005993838960605e-10
3.611051,-9.874442690588547,3.611051,4.407183806857429e-11,3.611051,-3.66671381644376e-05,3.611051,65994.77170784739,3.611051,-7.681450991129126e-14,3.611051,-0.4132505631983661,3.611051,1.005993838928345e-10
3.768959,-9.874442690438913,3.768959,4.407183806693402e-11,3.768959,-3.827055884002596e-05,3.768959,63229.79035895862,3.768959,-7.681450990749051e-14,3.768959,-0.413250563192752,3.768959,1.005993838897432e-10
3.933773,-9.874442690295611,3.933773,4.407183806536302e-11,3.933773,-3.994409564655488e-05,3.933773,60580.65336660657,3.933773,-7.681450990381096e-14,3.933773,-0.4132505631873746,3.933773,1.005993838867825e-10
4.105793,-9.874442690158256,4.105793,4.407183806385734e-11,4.105793,-4.169081469879696e-05,4.105793,58042.50720258829,4.105793,-7.681450990029523e-14,4.105793,-0.4132505631822213,4.105793,1.005993838839449e-10
4.285335,-9.874442690026646,4.285335,4.407183806241461e-11,4.285335,-4.351391618993929e-05,4.285335,55610.70168685696,4.285335,-7.68145098969373e-14,4.285335,-0.4132505631772836,4.285335,1.005993838812259e-10
4.472729,-9.874442689900633,4.472729,4.407183806103315e-11,4.472729,-4.541674025471242e-05,4.472729,53280.78146784696,4.472729,-7.681450989370752e-14,4.472729,-0.4132505631725545,4.472729,1.005993838786224e-10
4.668318,-9.874442689779826,4.668318,4.407183805970888e-11,4.668318,-4.740277308890971e-05,4.668318,51048.47785974747,4.668318,-7.681450989060562e-14,4.668318,-0.4132505631680221,4.668318,1.005993838761267e-10
