kgds_p X,kgds_p Y
1e-09,-0.87032856843349
1.013925e-09,-0.8694240977501372
1.028045e-09,-0.8685227942832752
1.042361e-09,-0.8676246351201082
1.056876e-09,-0.8667295977473577
1.071593e-09,-0.8658376597648965
1.086516e-09,-0.8649487990995494
1.101646e-09,-0.8640629938509989
1.116987e-09,-0.8631802223797327
1.132541e-09,-0.8623004631067785
1.148312e-09,-0.8614236948300825
1.164303e-09,-0.8605498965754457
1.180517e-09,-0.8596790474087318
1.196956e-09,-0.8588111267918109
1.213624e-09,-0.857946114181538
1.230524e-09,-0.8570839893771649
1.24766e-09,-0.8562247322875763
1.265034e-09,-0.8553683231598735
1.28265e-09,-0.8545147421625076
1.300511e-09,-0.8536639699530885
1.318621e-09,-0.8528159871237787
1.336984e-09,-0.8519707745215107
1.355602e-09,-0.8511283132695192
1.374479e-09,-0.8502885844764345
1.393619e-09,-0.8494515696258811
1.413026e-09,-0.848617250159687
1.432703e-09,-0.8477856078989803
1.452654e-09,-0.8469566246005221
1.472883e-09,-0.8461302823659347
1.493393e-09,-0.8453065633749141
1.514189e-09,-0.844485449956665
1.535275e-09,-0.8436669245789612
1.556654e-09,-0.8428509699511282
1.578331e-09,-0.842037568782789
1.60031e-09,-0.8412267040779624
1.622595e-09,-0.8404183588977668
1.645191e-09,-0.8396125164287741
1.668101e-09,-0.838809160080353
1.69133e-09,-0.8380082732988849
1.714882e-09,-0.8372098397362141
1.738762e-09,-0.8364138431710441
1.762975e-09,-0.8356202674701961
1.787526e-09,-0.8348290966503426
1.812418e-09,-0.8340403149023256
1.837656e-09,-0.8332539064579436
1.863246e-09,-0.8324698557146094
1.889193e-09,-0.8316881472276137
1.915501e-09,-0.8309087655855143
1.942175e-09,-0.8301316956167789
1.96922e-09,-0.8293569221209505
1.996642e-09,-0.8285844301020593
2.024447e-09,-0.8278142046761882
2.052638e-09,-0.8270462310441197
2.081222e-09,-0.8262804945441328
2.110203e-09,-0.8255169805717217
2.139589e-09,-0.8247556747110254
