kgmp X,kgmp Y,rds X,rds Y,kcgd X,kcgd Y,ids X,ids Y,kgds X,kgds Y,kcgs X,kcgs Y,kcds X,kcds Y
5.59081,-17.80525146268311,5.59081,711672.9062018311,5.59081,4.398633132008379e-10,5.59081,-4.91981104858801e-06,5.59081,-0.2856085104463766,5.59081,7.227893895147137e-10,5.59081,-4.236756923027737e-13
5.857021,-17.80525146248954,5.857021,679326.274237677,5.857021,4.39863313179938e-10,5.857021,-5.154071555484693e-06,5.857021,-0.2856085104439868,5.857021,7.227893894910955e-10,5.857021,-4.23675692290329e-13
6.135907,-17.80525146230478,6.135907,648449.8466203373,6.135907,4.39863313159989e-10,6.135907,-5.399486552766135e-06,6.135907,-0.2856085104417053,6.135907,7.227893894685525e-10,6.135907,-4.236756922785361e-13
6.428073,-17.80525146212842,6.428073,618976.8002930245,6.428073,4.398633131409476e-10,6.428073,-5.656587169889001e-06,6.428073,-0.2856085104395277,6.428073,7.22789389447035e-10,6.428073,-4.236756922671173e-13
6.734151,-17.80525146196005,6.734151,590843.3494100303,6.734151,4.398633131227696e-10,6.734151,-5.925929826438887e-06,6.734151,-0.285608510437449,6.734151,7.227893894264928e-10,6.734151,-4.23675692256195e-13
7.054802,-17.80525146179933,7.054802,563988.6072907955,7.054802,4.398633131054149e-10,7.054802,-6.208097436338803e-06,7.054802,-0.2856085104354645,7.054802,7.22789389406881e-10,7.054802,-4.236756922459325e-13
7.390722,-17.80525146164597,7.390722,538354.4546483873,7.390722,4.398633130888564e-10,7.390722,-6.503700669396853e-06,7.390722,-0.2856085104335709,7.390722,7.227893893881692e-10,7.390722,-4.236756922359223e-13
7.742637,-17.80525146149948,7.742637,513885.4138071429,7.742637,4.398633130730397e-10,7.742637,-6.813379272924199e-06,7.742637,-0.2856085104317626,7.742637,7.227893893702955e-10,7.742637,-4.236756922265843e-13
8.111307999999999,-17.80525146135973,8.111307999999999,490528.5286374365,8.111307999999999,4.398633130579513e-10,8.111307999999999,-7.137803456281184e-06,8.111307999999999,-0.2856085104300368,8.111307999999999,7.22789389353245e-10,8.111307999999999,-4.236756922175103e-13
8.497534,-17.80525146122643,8.497534,468233.2499474469,8.497534,4.398633130435579e-10,8.497534,-7.477675341351732e-06,8.497534,-0.2856085104283901,8.497534,7.2278938933698e-10,8.497534,-4.236756922090149e-13
8.902151,-17.80525146109908,8.902151,446951.3260841288,8.902151,4.398633130298079e-10,8.902151,-7.833730482082161e-06,8.902151,-0.2856085104268176,8.902151,7.227893893214419e-10,8.902151,-4.236756922007052e-13
9.326033000000001,-17.80525146097738,9.326033000000001,426636.6985065646,9.326033000000001,4.398633130166682e-10,9.326033000000001,-8.206739456373362e-06,9.326033000000001,-0.2856085104253162,9.326033000000001,7.227893893065927e-10,9.326033000000001,-4.2367569219274e-13
9.770099999999999,-17.80525146086135,9.770099999999999,407245.4021056428,9.770099999999999,4.398633130041408e-10,9.770099999999999,-8.597509533772442e-06,9.770099999999999,-0.2856085104238832,9.770099999999999,7.227893892924359e-10,9.770099999999999,-4.236756921851909e-13
10.23531,-17.8052514607506,10.23531,388735.4700542799,10.23531,4.398633129921827e-10,10.23531,-9.006886422574527e-06,10.23531,-0.2856085104225157,10.23531,7.227893892789228e-10,10.23531,-4.236756921781975e-13
10.72267,-17.80525146064493,10.72267,371066.8429824731,10.72267,4.398633129807722e-10,10.72267,-9.43575610011159e-06,10.72267,-0.2856085104212105,10.72267,7.227893892660289e-10,10.72267,-4.236756921713046e-13
11.23324,-17.80525146054399,11.23324,354201.2822804155,11.23324,4.398633129698748e-10,11.23324,-9.885046730193302e-06,11.23324,-0.2856085104199645,11.23324,7.227893892537137e-10,11.23324,-4.236756921647054e-13
