rds X,rds Y,kcgd X,kcgd Y,kgds X,kgds Y,kgmp X,kgmp Y,kcds X,kcds Y,ids X,ids Y,kcgs X,kcgs Y
1.91791,90610.88925147022,1.91791,2.870311870712279e-11,1.91791,-0.36886109289802,1.91791,-7.59671575184891,1.91791,-4.951562472312461e-14,1.91791,-2.991966721545731e-05,1.91791,6.697860477021668e-11
2.009233,86492.48448919352,2.009233,2.870311870541383e-11,2.009233,-0.3688610928888112,2.009233,-7.596715751634519,2.009233,-4.951562471870035e-14,2.009233,-3.134431469484554e-05,2.009233,6.697860476691219e-11
2.104904,82561.26757967996,2.104904,2.870311870378227e-11,2.104904,-0.3688610928800205,2.104904,-7.596715751429842,2.104904,-4.951562471450808e-14,2.104904,-3.283679783642498e-05,2.104904,6.697860476375729e-11
2.205131,78808.73054610808,2.205131,2.870311870222503e-11,2.205131,-0.3688610928716295,2.205131,-7.596715751234486,2.205131,-4.951562471050319e-14,2.205131,-3.440034668631639e-05,2.205131,6.697860476074618e-11
2.31013,75226.75211233413,2.31013,2.870311870073879e-11,2.31013,-0.3688610928636206,2.31013,-7.596715751048043,2.31013,-4.95156247066698e-14,2.31013,-3.603834509171868e-05,2.31013,6.697860475787237e-11
2.420128,71807.58012675034,2.420128,2.870311869931975e-11,2.420128,-0.3688610928559749,2.420128,-7.596715750870024,2.420128,-4.951562470302737e-14,2.420128,-3.775433802426281e-05,2.420128,6.697860475512842e-11
2.535364,68543.81478500659,2.535364,2.870311869796536e-11,2.535364,-0.3688610928486769,2.535364,-7.596715750700116,2.535364,-4.951562469954767e-14,2.535364,-3.955203925207162e-05,2.535364,6.69786047525095e-11
2.656088,65428.3926152812,2.656088,2.870311869667244e-11,2.656088,-0.3688610928417104,2.656088,-7.59671575053792,2.656088,-4.951562469623009e-14,2.656088,-4.143533937713347e-05,2.656088,6.697860475000949e-11
2.782559,62454.57119144933,2.782559,2.870311869543826e-11,2.782559,-0.3688610928350606,2.782559,-7.596715750383092,2.782559,-4.951562469303285e-14,2.782559,-4.340831425537919e-05,2.782559,6.697860474762301e-11
2.915053,59615.91454106139,2.915053,2.870311869426029e-11,2.915053,-0.368861092828713,2.915053,-7.596715750235319,2.915053,-4.951562469000748e-14,2.915053,-4.547523381768741e-05,2.915053,6.697860474534524e-11
3.053856,56906.27921654822,3.053856,2.870311869313576e-11,3.053856,-0.3688610928226541,3.053856,-7.596715750094246,3.053856,-4.951562468710736e-14,3.053856,-4.764057131091084e-05,3.053856,6.697860474317079e-11
3.199267,54319.80099951589,3.199267,2.870311869206226e-11,3.199267,-0.3688610928168702,3.199267,-7.596715749959578,3.199267,-4.951562468434078e-14,3.199267,-4.990901297891796e-05,3.199267,6.697860474109498e-11
3.351603,51850.88220934814,3.351603,2.87031186910378e-11,3.351603,-0.3688610928113499,3.351603,-7.596715749831061,3.351603,-4.951562468171229e-14,3.351603,-5.228546820460619e-05,3.351603,6.697860473911407e-11
3.511192,49494.17958865131,3.511192,2.870311869005968e-11,3.511192,-0.3688610928060798,3.511192,-7.596715749708352,3.511192,-4.951562467919942e-14,3.511192,-5.477508013483694e-05,3.511192,6.697860473722274e-11
3.67838,47244.59273932889,3.67838,2.870311868912622e-11,3.67838,-0.3688610928010497,3.67838,-7.596715749591249,3.67838,-4.95156246767979e-14,3.67838,-5.73832368112793e-05,3.67838,6.697860473541778e-11
