kcgs_n X,kcgs_n Y,gmn X,gmn Y,kcgd_n X,kcgd_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y,kgds_n X,kgds_n Y
3.697132e-07,-2.346468262095498e-09,3.697132e-07,8.057120351508709e-05,3.697132e-07,-1.815377560551299e-09,3.697132e-07,450213.3581826515,3.697132e-07,24.94356550295039,3.697132e-07,3.230139793188625e-06,3.697132e-07,0.6876386915410276
4.086107e-07,-2.153269378025831e-09,4.086107e-07,8.818293035366497e-05,4.086107e-07,-1.652043618521523e-09,4.086107e-07,410369.9205046088,4.086107e-07,24.81172959881807,4.086107e-07,3.554082354575783e-06,4.086107e-07,0.685641336619474
4.516005e-07,-1.972484319994965e-09,4.516005e-07,9.671961515388757e-05,4.516005e-07,-1.499746396075243e-09,4.516005e-07,373203.6932004572,4.516005e-07,24.67203769455057,4.516005e-07,3.920211875132247e-06,4.516005e-07,0.6835094560966368
4.991134e-07,-1.810596272109685e-09,4.991134e-07,0.0001058812609389213,4.991134e-07,-1.363904817207721e-09,4.991134e-07,340037.6900248105,4.991134e-07,24.53042043595524,4.991134e-07,4.316324753395863e-06,4.991134e-07,0.6813320675502781
5.51625e-07,-1.662457064905064e-09,5.51625e-07,0.0001159066719699484,5.51625e-07,-1.240134241949313e-09,5.51625e-07,309802.872013508,5.51625e-07,24.38395121056981,5.51625e-07,4.753399929692522e-06,5.51625e-07,0.6790632146178341
6.096614e-07,-1.526952594651214e-09,6.096614e-07,0.0001268679140535389,6.096614e-07,-1.127455377908354e-09,6.096614e-07,282261.221213333,6.096614e-07,24.2325779149814,6.096614e-07,5.235427881368943e-06,6.096614e-07,0.6767006634854026
6.738038e-07,-1.403020054940059e-09,6.738038e-07,0.0001388435661866866,6.738038e-07,-1.02493352172583e-09,6.738038e-07,257185.7082107283,6.738038e-07,24.07621283682795,6.738038e-07,5.766835802942642e-06,6.738038e-07,0.6742416592835108
7.446946e-07,-1.289660256073678e-09,7.446946e-07,0.0001519191276203247,7.446946e-07,-9.316891834630636e-10,7.446946e-07,234362.8408977563,7.446946e-07,23.9147322162129,7.446946e-07,6.352533084912892e-06,7.446946e-07,0.6716829288123931
8.230438e-07,-1.185944266417651e-09,8.230438e-07,0.0001661873543965503,8.230438e-07,-8.469037694978224e-10,8.230438e-07,213594.0157382679,8.230438e-07,23.7479762896469,8.230438e-07,6.997958578432677e-06,8.230438e-07,0.6690206941485228
9.096361e-07,-1.091015672245198e-09,9.096361e-07,0.0001817485341312093,9.096361e-07,-7.6982147083609e-10,9.096361e-07,194695.9502090921,9.096361e-07,23.57574947476341,9.096361e-07,7.709130703384912e-06,9.096361e-07,0.6662506919005112
1.005339e-06,-1.004089693681679e-09,1.005339e-06,0.0001987107097058997,1.005339e-06,-6.997484464327437e-10,1.005339e-06,177500.4609195128,1.005339e-06,23.39782050253961,1.005339e-06,8.492701689216376e-06,1.005339e-06,0.6633681946735625
1.11111e-06,-9.24450231732928e-10,1.11111e-06,0.0002171898597333003,1.11111e-06,-6.360502427538723e-10,1.11111e-06,161853.8158390373,1.11111e-06,23.21392247734848,1.11111e-06,9.356017275633975e-06,1.11111e-06,0.6603680336066802
