kcsg_p X,kcsg_p Y
2.456916e-09,3.685338411924383e-07
2.49113e-09,3.635128157726472e-07
2.52582e-09,3.585602638162732e-07
2.560993e-09,3.536752517852996e-07
2.596656e-09,3.488568586394344e-07
2.632815e-09,3.441041761187864e-07
2.669478e-09,3.394163083286737e-07
2.706652e-09,3.347923713663524e-07
2.744343e-09,3.302314935824491e-07
2.782559e-09,3.257328150828467e-07
2.821308e-09,3.212954877389431e-07
2.860596e-09,3.169186750656141e-07
2.90043e-09,3.126015517761535e-07
2.94082e-09,3.083433040112778e-07
2.981772e-09,3.041431290060015e-07
3.023295e-09,3.000002347879991e-07
3.065395e-09,2.95913840191695e-07
3.108082e-09,2.918831748513266e-07
3.151363e-09,2.879074788126077e-07
3.195248e-09,2.839860024506113e-07
3.239743e-09,2.801180063825277e-07
3.284857e-09,2.763027613757045e-07
3.3306e-09,2.725395479268343e-07
3.37698e-09,2.688276566007156e-07
3.424006e-09,2.651663874528492e-07
3.471687e-09,2.615550501227865e-07
3.520031e-09,2.579929636781955e-07
3.569049e-09,2.544794564661665e-07
3.61875e-09,2.510138660398443e-07
3.669142e-09,2.475955388121976e-07
3.720237e-09,2.44223830269338e-07
3.772042e-09,2.4089810462762e-07
3.824570000000001e-09,2.376177347746835e-07
3.877828000000001e-09,2.343821020845643e-07
3.931829e-09,2.311905965382196e-07
3.986581e-09,2.280426162421645e-07
4.042096e-09,2.249375676148163e-07
4.098384000000001e-09,2.21874865099763e-07
4.155455e-09,2.188539311704038e-07
4.213322e-09,2.158741961671515e-07
4.271994000000001e-09,2.129350981952595e-07
4.331483000000001e-09,2.100360829766537e-07
4.391801e-09,2.071766038050394e-07
4.452959e-09,2.043561215400483e-07
4.514968e-09,2.015741042341211e-07
4.577841e-09,1.988300272786866e-07
4.641589e-09,1.96123373137651e-07
4.706225e-09,1.934536314765653e-07
4.771761e-09,1.908202987827604e-07
4.838210000000001e-09,1.882228784567702e-07
4.905584000000001e-09,1.856608806899223e-07
4.973896e-09,1.831338222755699e-07
5.043159e-09,1.806412267223078e-07
5.113388e-09,1.781826239227579e-07
5.184594e-09,1.757575501986662e-07
5.256791e-09,1.733655482624117e-07
5.329994e-09,1.710061669819733e-07
5.404216e-09,1.686789614190824e-07
5.479472000000001e-09,1.663834927000382e-07
5.555776e-09,1.641193279249437e-07
5.633143e-09,1.618860400520125e-07
5.711586e-09,1.596832079836314e-07
5.791123e-09,1.57510416223717e-07
5.871766e-09,1.55367255050633e-07
5.953533000000001e-09,1.532533202702551e-07
6.036439e-09,1.51168213220865e-07
6.120498000000001e-09,1.491115406709582e-07
6.205729e-09,1.470829147232556e-07
6.292146e-09,1.450819528385135e-07
6.379767000000001e-09,1.43108277645837e-07
6.468608e-09,1.411615169246344e-07
6.558686e-09,1.3924130353829e-07
6.650018000000001e-09,1.373472753690381e-07
6.742622000000001e-09,1.354790751743431e-07
6.836516e-09,1.336363506701807e-07
6.931717e-09,1.318187543474502e-07
7.028244e-09,1.30025943399918e-07
7.126115000000001e-09,1.282575797265701e-07
7.225349e-09,1.265133298384887e-07
7.325965e-09,1.247928648056328e-07
7.427982e-09,1.230958601380692e-07
7.53142e-09,1.214219958376179e-07
7.636298e-09,1.197709562158473e-07
7.742637e-09,1.181424298989528e-07
7.850456000000001e-09,1.165361097949388e-07
7.959777e-09,1.149516929579675e-07
8.070620000000001e-09,1.133888805917198e-07
8.183007e-09,1.118473779772284e-07
