kcgs_n X,kcgs_n Y
7.225349e-09,-1.104791841166828e-07
7.325965e-09,-1.089599976569755e-07
7.427982e-09,-1.074510114999073e-07
7.53142e-09,-1.059457598097354e-07
7.636298e-09,-1.045892545318864e-07
7.742637e-09,-1.031637642979625e-07
7.850456000000001e-09,-1.017569205049281e-07
7.959777e-09,-1.003664285052604e-07
8.070620000000001e-09,-9.898053374379167e-08
8.183007e-09,-9.753761722338282e-08
8.296959e-09,-9.632258911327918e-08
8.412497000000001e-09,-9.499495669218994e-08
8.529645e-09,-9.365862005762987e-08
8.648423e-09,-9.243862786417236e-08
8.768855999999999e-09,-9.117883749898656e-08
8.890966000000001e-09,-8.984368665601542e-08
9.014776e-09,-8.87032567979775e-08
9.140311000000001e-09,-8.750306281534166e-08
9.267593e-09,-8.626506520738318e-08
9.396648000000002e-09,-8.512845292439923e-08
9.5275e-09,-8.39745073031956e-08
9.660175000000001e-09,-8.280515603390705e-08
9.794697e-09,-8.166491923495869e-08
9.931092000000001e-09,-8.053475640508082e-08
1.006939e-08,-7.941209548972041e-08
1.020961e-08,-7.829336163576278e-08
1.035178e-08,-7.734205464277478e-08
1.049593e-08,-7.625742100563614e-08
1.064209e-08,-7.514139874865637e-08
1.079029e-08,-7.422451875525115e-08
1.094055e-08,-7.314710639545917e-08
1.10929e-08,-7.221563317108429e-08
1.124737e-08,-7.113544761469937e-08
1.1404e-08,-7.026363098447932e-08
1.15628e-08,-6.928670020324078e-08
1.172382e-08,-6.833051971063541e-08
1.188708e-08,-6.735996151996206e-08
1.205261e-08,-6.6492949647726e-08
1.222045e-08,-6.560303086400794e-08
1.239062e-08,-6.471640856403701e-08
1.256317e-08,-6.371014546251066e-08
1.273811e-08,-6.295875414182816e-08
1.29155e-08,-6.209483838315747e-08
1.309535e-08,-6.124087707738023e-08
1.327771e-08,-6.039732378681916e-08
1.346261e-08,-5.956472047938743e-08
1.365008e-08,-5.878419635660448e-08
1.384016e-08,-5.792076917354943e-08
1.403289e-08,-5.721055630857899e-08
1.42283e-08,-5.643119884853263e-08
1.442644e-08,-5.566275809419724e-08
1.462733e-08,-5.490810711413442e-08
1.483103e-08,-5.416142988614331e-08
1.503755e-08,-5.34247689539854e-08
1.524696e-08,-5.269806810876396e-08
1.545928e-08,-5.198120214506258e-08
1.567455e-08,-5.127406753591668e-08
1.589283e-08,-5.057657702125514e-08
1.611414e-08,-4.988426337347801e-08
1.633854e-08,-4.918987779850703e-08
1.656606e-08,-4.848797483797099e-08
1.679675e-08,-4.788421278997684e-08
1.703065e-08,-4.723319399069938e-08
1.726781e-08,-4.659079202995479e-08
1.750827e-08,-4.595685253329755e-08
1.775208e-08,-4.533128205339204e-08
1.799929e-08,-4.471403627320331e-08
1.824993e-08,-4.410627406100313e-08
1.850407e-08,-4.350769759982391e-08
1.876175e-08,-4.291726135735934e-08
1.902301e-08,-4.233485765608712e-08
1.928792e-08,-4.176038013719915e-08
1.955651e-08,-4.119372353706735e-08
1.982884e-08,-4.06347838425172e-08
2.010496e-08,-4.008345820469036e-08
2.038493e-08,-3.953964498067135e-08
2.06688e-08,-3.900324371201179e-08
2.095662e-08,-3.847415517832112e-08
2.124845e-08,-3.795228126488762e-08
2.154435e-08,-3.743752509058236e-08
2.184436e-08,-3.692979096445659e-08
2.214855e-08,-3.642898433148061e-08
2.245698e-08,-3.593501183633862e-08
2.27697e-08,-3.54477812837195e-08
2.308678e-08,-3.496720158844612e-08
2.340827e-08,-3.449318286321678e-08
2.373424e-08,-3.402563633544185e-08
2.406475e-08,-3.356447437194291e-08
2.439986e-08,-3.310961045817977e-08
2.473964e-08,-3.266095917920268e-08
2.508415e-08,-3.221843625283663e-08
2.543346e-08,-3.178195845736534e-08
2.578763e-08,-3.135144366497352e-08
2.614673e-08,-3.092681084510445e-08
2.651084e-08,-3.050797999740153e-08
2.688001e-08,-3.009487218195195e-08
2.725433e-08,-2.96874095217686e-08
2.763385e-08,-2.928551512996798e-08
2.801867e-08,-2.888911317897568e-08
2.840884e-08,-2.849812881879217e-08
2.880444e-08,-2.8112488221835e-08
2.920556e-08,-2.773211852555978e-08
2.961225e-08,-2.735694785525104e-08
3.002462e-08,-2.698690529737045e-08
3.044272e-08,-2.657089106246686e-08
3.086665e-08,-2.62148299019544e-08
3.129648e-08,-2.586341427000152e-08
3.17323e-08,-2.551659412694952e-08
3.217418e-08,-2.517431940956817e-08
3.262222e-08,-2.48365400873975e-08
3.307650000000001e-08,-2.450320617761101e-08
3.35371e-08,-2.417426777485215e-08
3.400412e-08,-2.384967506581944e-08
3.447764e-08,-2.352937837123119e-08
3.495776e-08,-2.321332815158318e-08
3.544456e-08,-2.290147502093818e-08
3.593814e-08,-2.259376979809259e-08
3.643859e-08,-2.229016349825446e-08
3.694601e-08,-2.199060736316539e-08
3.746050000000001e-08,-2.169505286601471e-08
3.798215e-08,-2.140345175622362e-08
3.851107e-08,-2.111575604004224e-08
3.904735e-08,-2.083191801813573e-08
3.95911e-08,-2.055189030375111e-08
4.014242e-08,-2.027562580982226e-08
4.070142e-08,-2.000307778763421e-08
4.126821e-08,-1.973419982801154e-08
4.184289e-08,-1.946894587713176e-08
4.242556e-08,-1.920727023321224e-08
4.301636e-08,-1.894912757491721e-08
4.361538000000001e-08,-1.869447295265481e-08
4.422274e-08,-1.844326180652488e-08
4.483856e-08,-1.819544998220031e-08
4.546295000000001e-08,-1.79509937101267e-08
4.609604e-08,-1.77098496449401e-08
4.673795e-08,-1.74719748443384e-08
4.73888e-08,-1.723732678721052e-08
4.80487e-08,-1.700586337890628e-08
4.87178e-08,-1.677754294917513e-08
4.939622000000001e-08,-1.655232425716815e-08
5.008408000000001e-08,-1.633016649580472e-08
5.078152e-08,-1.611102929552701e-08
5.148867e-08,-1.58948727184239e-08
5.220568e-08,-1.568165727086384e-08
5.293266e-08,-1.547134389979071e-08
5.366977e-08,-1.526389398388782e-08
5.441714000000001e-08,-1.505926935570901e-08
5.517492e-08,-1.485743227805299e-08
5.594326e-08,-1.465834545701381e-08
5.672229e-08,-1.446197203781146e-08
5.751217e-08,-1.426827560819919e-08
5.831305e-08,-1.407722018684168e-08
5.912508e-08,-1.388877023375663e-08
5.994843e-08,-1.370289063866363e-08
6.078323000000001e-08,-1.351954672372388e-08
6.162966e-08,-1.333870424119611e-08
6.248788e-08,-1.316032937097889e-08
6.335805e-08,-1.298438871604019e-08
6.424034000000001e-08,-1.281084930388512e-08
