kgmp X,kgmp Y
1e-09,-26.96147027021576
1.013925e-09,-26.95916146283014
1.028045e-09,-26.95684264121368
1.042361e-09,-26.95451373559567
1.056876e-09,-26.95217467616976
1.071593e-09,-26.94982539235999
1.086516e-09,-26.94746581338847
1.101646e-09,-26.94509586787635
1.116987e-09,-26.94271548408645
1.132541e-09,-26.94032458938765
1.148312e-09,-26.93792311111508
1.164303e-09,-26.93551097618153
1.180517e-09,-26.93308811056351
1.196956e-09,-26.93065444028951
1.213624e-09,-26.92820989033149
1.230524e-09,-26.92575438558357
1.24766e-09,-26.92328785021079
1.265034e-09,-26.92081020831352
1.28265e-09,-26.91832138272736
1.300511e-09,-26.91582129667677
1.318621e-09,-26.91330987216433
1.336984e-09,-26.91078703091095
1.355602e-09,-26.90825269443304
1.374479e-09,-26.90570678317611
1.393619e-09,-26.9031492176928
1.413026e-09,-26.9005799173849
1.432703e-09,-26.89799880179648
1.452654e-09,-26.89540578924983
1.472883e-09,-26.89280079812078
1.493393e-09,-26.89018374601366
1.514189e-09,-26.88755454998855
1.535275e-09,-26.8849131265287
1.556654e-09,-26.88225939188082
1.578331e-09,-26.87959326127664
1.60031e-09,-26.87691464989614
1.622595e-09,-26.87422347209697
1.645191e-09,-26.8715196416391
1.668101e-09,-26.8688030720174
1.69133e-09,-26.86607367584118
1.714882e-09,-26.86333136540776
1.738762e-09,-26.86057605244202
1.762975e-09,-26.85780764796527
1.787526e-09,-26.85502606251068
1.812418e-09,-26.85223120621675
1.837656e-09,-26.84942298836279
1.863246e-09,-26.84660131780922
1.889193e-09,-26.8437661029799
1.915501e-09,-26.84091725141596
1.942175e-09,-26.83805467052956
1.96922e-09,-26.83517826662476
1.996642e-09,-26.83228794575554
2.024447e-09,-26.82938361339635
2.052638e-09,-26.82646517433594
2.081222e-09,-26.82353253288667
2.110203e-09,-26.82058559257592
2.139589e-09,-26.81762425665903
2.169384e-09,-26.81464842741303
2.199593e-09,-26.81165800674963
2.230223e-09,-26.80865289601661
2.26128e-09,-26.80563299590709
2.292769e-09,-26.80259820637576
2.324697e-09,-26.79954842703547
2.357069e-09,-26.79648355668682
2.389893e-09,-26.79340349362102
2.423173e-09,-26.79030813544474
2.456916e-09,-26.78719737919197
2.49113e-09,-26.78407112133942
2.52582e-09,-26.78092925764297
2.560993e-09,-26.77777168334094
2.596656e-09,-26.77459829290598
2.632815e-09,-26.77140898033768
2.669478e-09,-26.76820363900656
2.706652e-09,-26.76498216150706
2.744343e-09,-26.76174443994825
2.782559e-09,-26.7584903657214
2.821308e-09,-26.75521982961776
2.860596e-09,-26.75193272185829
2.90043e-09,-26.7486289318756
2.94082e-09,-26.74530834860011
2.981772e-09,-26.74197086032687
3.023295e-09,-26.73861635459102
3.065395e-09,-26.73524471829062
3.108082e-09,-26.73185583780444
3.151363e-09,-26.7284495987921
3.195248e-09,-26.72502588623891
3.239743e-09,-26.72158458450001
3.284857e-09,-26.71812557734444
3.3306e-09,-26.71464874769474
3.37698e-09,-26.71115397805795
3.424006e-09,-26.70764115011755
3.471687e-09,-26.70411014493742
3.520031e-09,-26.70056084293855
3.569049e-09,-26.6969931238782
3.61875e-09,-26.69340686690348
3.669142e-09,-26.68980195031959
3.720237e-09,-26.68617825193584
3.772042e-09,-26.68253564883641
3.824570000000001e-09,-26.67887401744153
3.877828000000001e-09,-26.67519323343026
3.931829e-09,-26.67149317200944
3.986581e-09,-26.66777370749519
4.042096e-09,-26.66403471365416
4.098384000000001e-09,-26.66027606349831
4.155455e-09,-26.65649762942098
4.213322e-09,-26.65269928313183
4.271994000000001e-09,-26.64888089566207
