kcsg_p X,kcsg_p Y,kgmp X,kgmp Y,kgds_p X,kgds_p Y,kcgd_n X,kcgd_n Y,kcgs_n X,kcgs_n Y,kgds_n X,kgds_n Y,kgmn X,kgmn Y
7.564633000000001e-08,1.7833004763041e-09,7.564633000000001e-08,-22.7627519006408,7.564633000000001e-08,-0.5068371019093405,7.564633000000001e-08,-8.840435526010246e-09,7.564633000000001e-08,-1.09380533477348e-08,7.564633000000001e-08,0.6043422900266051,7.564633000000001e-08,26.70279816749798
8.69749e-08,1.575559452011938e-09,8.69749e-08,-22.39390753116815,8.69749e-08,-0.4995562565409979,8.69749e-08,-7.696798587510047e-09,8.69749e-08,-9.557090069150125e-09,8.69749e-08,0.6031840635391699,8.69749e-08,26.60199825831081
1e-07,1.393611815951745e-09,1e-07,-22.00049410657991,1e-07,-0.4919421863148462,1e-07,-6.701265196764676e-09,1e-07,-8.355020214680739e-09,1e-07,0.6019538337515863,1e-07,26.49511937911241
1.149757e-07,1.234127178659149e-09,1.149757e-07,-21.58120542016687,1.149757e-07,-0.4840016863249945,1.149757e-07,-5.834652476698544e-09,1.149757e-07,-7.308587422573445e-09,1.149757e-07,0.600648813382331,1.149757e-07,26.38187429579423
1.321941e-07,1.094312403302156e-09,1.321941e-07,-21.13527097700546,1.321941e-07,-0.4758256640597309,1.321941e-07,-5.080378228633076e-09,1.321941e-07,-6.397682733081678e-09,1.321941e-07,0.5992666548344144,1.321941e-07,26.26199707295161
1.519911e-07,9.715900842256039e-10,1.519911e-07,-20.66211347047407,1.519911e-07,-0.4674299082609062,1.519911e-07,-4.423826986105219e-09,1.519911e-07,-5.604578991876848e-09,1.519911e-07,0.5978049825146399,1.519911e-07,26.13520005594002
1.747528e-07,8.641474234030372e-10,1.747528e-07,-20.16304510238247,1.747528e-07,-0.4591778444367242,1.747528e-07,-3.852957155377005e-09,1.747528e-07,-4.91466481891998e-09,1.747528e-07,0.5962636623367523,1.747528e-07,26.00136910278717
2.009233e-07,7.689015816210458e-10,2.009233e-07,-19.63517572754056,2.009233e-07,-0.4501410712385971,2.009233e-07,-3.35520567674646e-09,2.009233e-07,-4.312703365193299e-09,2.009233e-07,0.594636709587312,2.009233e-07,25.85985522098339
2.31013e-07,6.848051248519215e-10,2.31013e-07,-19.08131523724739,2.31013e-07,-0.4407750458033641,2.31013e-07,-2.921883810996739e-09,2.31013e-07,-3.788145554281752e-09,2.31013e-07,0.5929249515081364,2.31013e-07,25.71057884573442
2.656088e-07,6.104272866932552e-10,2.656088e-07,-18.50342056239077,2.656088e-07,-0.4311099844145356,2.656088e-07,-2.544649764425846e-09,2.656088e-07,-3.330867877284185e-09,2.656088e-07,0.5911274415843701,2.656088e-07,25.5532751470005
3.053856e-07,5.445274121594113e-10,3.053856e-07,-17.90422666765961,3.053856e-07,-0.4211863770643368,3.053856e-07,-2.216240850727166e-09,3.053856e-07,-2.932057624205722e-09,3.053856e-07,0.5892436124244355,3.053856e-07,25.38768234190094
3.511192e-07,4.86042743701017e-10,3.511192e-07,-17.28730400105468,3.511192e-07,-0.4110715590517539,3.511192e-07,-1.930355488600977e-09,3.511192e-07,-2.584071057656838e-09,3.511192e-07,0.5872734187446034,3.511192e-07,25.21355271133048
4.037017e-07,4.340773654788373e-10,4.037017e-07,-16.65708957433386,4.037017e-07,-0.4008924498251455,4.037017e-07,-1.681529254422379e-09,4.037017e-07,-2.280284586296861e-09,4.037017e-07,0.5852174306439994,4.037017e-07,25.03066005347245
4.641589e-07,3.877630494759382e-10,4.641589e-07,-16.01786695033263,4.641589e-07,-0.3906209204990199,4.641589e-07,-1.464902561833202e-09,4.641589e-07,-2.014812734999664e-09,4.641589e-07,0.5830756184802822,4.641589e-07,24.83869039977396
5.336699e-07,3.466043212253985e-10,5.336699e-07,-15.37662746326829,5.336699e-07,-0.3807078356347325,5.336699e-07,-1.276614377270993e-09,5.336699e-07,-1.782994095181463e-09,5.336699e-07,0.5808525665568431,5.336699e-07,24.63770858204808
6.135907e-07,3.094767837544344e-10,6.135907e-07,-14.73324480087788,6.135907e-07,-0.3701990162513635,6.135907e-07,-1.112261038154462e-09,6.135907e-07,-1.579493662081795e-09,6.135907e-07,0.5785392329030687,6.135907e-07,24.42651278030858
7.054802e-07,2.762292438248185e-10,7.054802e-07,-14.09602109596347,7.054802e-07,-0.3598072829162499,7.054802e-07,-9.692365441351095e-10,7.054802e-07,-1.401189310986974e-09,7.054802e-07,0.5761426390036488,7.054802e-07,24.20530640785824
8.111308000000001e-07,2.463739812066492e-10,8.111308000000001e-07,-13.46890355250784,8.111308000000001e-07,-0.3494892441286347,8.111308000000001e-07,-8.447164382499367e-10,8.111308000000001e-07,-1.244689838344964e-09,8.111308000000001e-07,0.5736621798697701,8.111308000000001e-07,23.97355750099137
9.326033000000001e-07,2.195377769965677e-10,9.326033000000001e-07,-12.85568763391002,9.326033000000001e-07,-0.3392966325563388,9.326033000000001e-07,-7.363086456112795e-10,9.326033000000001e-07,-1.107137420208072e-09,9.326033000000001e-07,0.5710979855083945,9.326033000000001e-07,23.73074154775218
1.072267e-06,1.954069381175837e-10,1.072267e-06,-12.25938761927512,1.072267e-06,-0.329291246695149,1.072267e-06,-6.419376562096531e-10,1.072267e-06,-9.86065635516236e-10,1.072267e-06,0.568450139990138,1.072267e-06,23.47625376575926
1.232847e-06,1.736994413761631e-10,1.232847e-06,-11.68180754138374,1.232847e-06,-0.3194849500041561,1.232847e-06,-5.597750353681371e-10,1.232847e-06,-8.793123329590041e-10,1.232847e-06,0.5657179414069758,1.232847e-06,23.20930866252973
1.417474e-06,1.54170329795135e-10,1.417474e-06,-11.12370193982232,1.417474e-06,-0.309856166442707,1.417474e-06,-4.882311685846036e-10,1.417474e-06,-7.850097418717243e-10,1.417474e-06,0.5629006835866238,1.417474e-06,22.92896866495058
1.629751e-06,1.36616095656709e-10,1.629751e-06,-10.58502114793846,1.629751e-06,-0.3004066920221503,1.629751e-06,-4.259314482612033e-10,1.629751e-06,-7.015555136827167e-10,1.629751e-06,0.5599985497003441,1.629751e-06,22.63416947306825
1.873817e-06,1.208865996125422e-10,1.873817e-06,-10.06560271172699,1.873817e-06,-0.2912489257686023,1.873817e-06,-3.717276676370941e-10,1.873817e-06,-6.276325629349765e-10,1.873817e-06,0.5570162589934462,1.873817e-06,22.32399738101834
2.154435e-06,1.067420834452993e-10,2.154435e-06,-9.562135210189854,2.154435e-06,-0.2820327709606916,2.154435e-06,-3.244515508010944e-10,2.154435e-06,-5.615225815729579e-10,2.154435e-06,0.5525527363558743,2.154435e-06,21.93916893117376
2.477076e-06,9.411360758807372e-11,2.477076e-06,-9.074648527958946,2.477076e-06,-0.2730521092483685,2.477076e-06,-2.832975975744365e-10,2.477076e-06,-5.030222767294843e-10,2.477076e-06,0.5492548134651201,2.477076e-06,21.58712737536809
2.848036e-06,8.28508545775721e-11,2.848036e-06,-8.600939836452984,2.848036e-06,-0.2642117112226567,2.848036e-06,-2.474600645281695e-10,2.848036e-06,-4.508843781051748e-10,2.848036e-06,0.5458868497086824,2.848036e-06,21.21467975421817
3.274549e-06,7.282820198770549e-11,3.274549e-06,-8.139252842825961,3.274549e-06,-0.2554841558745607,3.274549e-06,-2.162434308490406e-10,3.274549e-06,-4.043306830901492e-10,3.274549e-06,0.5424717102340948,3.274549e-06,20.82021784080633
3.764936e-06,6.39308935731516e-11,3.764936e-06,-7.688222590971793,3.764936e-06,-0.2468510073906071,3.764936e-06,-1.890484956381112e-10,3.764936e-06,-3.626984827437082e-10,3.764936e-06,0.5390457499633396,3.764936e-06,20.40225750162162
4.328761e-06,5.605147715180936e-11,4.328761e-06,-7.246896676440715,4.328761e-06,-0.238298815344866,4.328761e-06,-1.653525815056618e-10,4.328761e-06,-3.254143317474217e-10,4.328761e-06,0.5356624388708533,4.328761e-06,19.95945591325729
4.977024e-06,4.911706600775588e-11,4.977024e-06,-6.816530491557097,4.977024e-06,-0.2298820365193232,4.977024e-06,-1.447657688656712e-10,4.977024e-06,-2.920904449884164e-10,4.977024e-06,0.532408294084447,4.977024e-06,19.49235985586529
5.722368e-06,4.29583638293675e-11,5.722368e-06,-6.39237540857756,5.722368e-06,-0.2214442995595133,5.722368e-06,-1.267056166100284e-10,5.722368e-06,-2.619943345373914e-10,5.722368e-06,0.529360124956778,5.722368e-06,18.99564862210304
6.579332e-06,3.754899967570118e-11,6.579332e-06,-5.978672710951345,6.579332e-06,-0.2130526421287734,6.579332e-06,-1.109775128361612e-10,6.579332e-06,-2.350024803129107e-10,6.579332e-06,0.5266868863499886,6.579332e-06,18.47254674375053
7.564632999999999e-06,3.280172758301678e-11,7.564632999999999e-06,-5.575783008532374,7.564632999999999e-06,-0.2047409907447305,7.564632999999999e-06,-9.725176618314283e-11,7.564632999999999e-06,-2.107503770559709e-10,7.564632999999999e-06,0.5245812113722661,7.564632999999999e-06,17.92269684355329
8.69749e-06,2.863736505666497e-11,8.69749e-06,-5.184390119345879,8.69749e-06,-0.1964928864247127,8.69749e-06,-8.524703959414378e-11,8.69749e-06,-1.889291632495509e-10,8.69749e-06,0.5233064894487706,8.69749e-06,17.34619895285277
9.999999999999999e-06,2.498880688386537e-11,9.999999999999999e-06,-4.805722066274005,9.999999999999999e-06,-0.1883080956792506,9.999999999999999e-06,-7.472867554615491e-11,9.999999999999999e-06,-1.692864074967095e-10,9.999999999999999e-06,0.523224354936987,9.999999999999999e-06,16.74398923780313
1.149757e-05,2.179553233386395e-11,1.149757e-05,-4.441084171576625,1.149757e-05,-0.1801891219635652,1.149757e-05,-6.549372267302798e-11,1.149757e-05,-1.515998938455533e-10,1.149757e-05,0.5248338066565503,1.149757e-05,16.11740852171004
1.321941e-05,1.900320900029854e-11,1.321941e-05,-4.091756527383676,1.321941e-05,-0.1721400830686445,1.321941e-05,-5.736949166154374e-11,1.321941e-05,-1.35673323506734e-10,1.321941e-05,0.5288381492743233,1.321941e-05,15.46809162234952
1.519911e-05,1.656328949331888e-11,1.519911e-05,-3.758903831925211,1.519911e-05,-0.1641660985180197,1.519911e-05,-5.021214965352769e-11,1.519911e-05,-1.213328116865916e-10,1.519911e-05,0.5362589433673615,1.519911e-05,14.79778753593938
1.747528e-05,1.44327299345853e-11,1.747528e-05,-3.443499969011213,1.747528e-05,-0.1562848223081212,1.747528e-05,-4.389901670566852e-11,1.747528e-05,-1.084137860678305e-10,1.747528e-05,0.5486260575849448,1.747528e-05,14.10755930404182
2.009233e-05,1.257280087249867e-11,2.009233e-05,-3.146323911852112,2.009233e-05,-0.1484413643959007,2.009233e-05,-3.83500114715884e-11,2.009233e-05,-9.681170653663901e-11,2.009233e-05,0.5684393666607946,2.009233e-05,13.40006661731221
2.31013e-05,1.094994522401496e-11,2.31013e-05,-2.867781298163363,2.31013e-05,-0.1406774302448608,2.31013e-05,-3.346969935556475e-11,2.31013e-05,-8.637249507796334e-11,2.31013e-05,0.59984065349705,2.31013e-05,12.67327864793089
2.656088e-05,9.534465763223797e-12,2.656088e-05,-2.607861203095864,2.656088e-05,-0.1330979926796106,2.656088e-05,-2.919347376542719e-11,2.656088e-05,-7.699258314114411e-11,2.656088e-05,0.6506732477150642,2.656088e-05,11.92393574907378
3.053856e-05,8.300123287122213e-12,3.053856e-05,-2.36661170001471,3.053856e-05,-0.1256133180226302,3.053856e-05,-2.547147019255163e-11,3.053856e-05,-6.858308147693272e-11,3.053856e-05,0.7373666346662004,3.053856e-05,11.14270464961936
3.511191999999999e-05,7.223926041044023e-12,3.511191999999999e-05,-2.14362532079931,3.511191999999999e-05,-0.1182386547684564,3.511191999999999e-05,-2.228244867352591e-11,3.511191999999999e-05,-6.1056871101998e-11,3.511191999999999e-05,0.9020708865767282,3.511191999999999e-05,10.30252340385002
4.037017e-05,6.285764161129184e-12,4.037017e-05,-1.938289837939815,4.037017e-05,-0.1109898113974923,4.037017e-05,-1.974162389777119e-11,4.037017e-05,-5.430840184161257e-11,4.037017e-05,1.305657858371749,4.037017e-05,9.309745685701527
4.641589e-05,5.468052802374102e-12,4.641589e-05,-1.749836801833544,4.641589e-05,-0.1038816206405721,4.641589e-05,-1.875707495755404e-11,4.641589e-05,-4.7966290029869e-11,4.641589e-05,3.30297357122851,4.641589e-05,7.608164648143815
5.336699e-05,4.755459236215454e-12,5.336699e-05,-1.577381234778735,5.336699e-05,-0.09694129818118895,5.336699e-05,-2.125250060560582e-11,5.336699e-05,-4.069451357543255e-11,5.336699e-05,8.635218238972326,5.336699e-05,5.160360612895905
6.135907e-05,4.13454931002357e-12,6.135907e-05,-1.419987992540436,6.135907e-05,-0.09018173642802417,6.135907e-05,-2.318158196309395e-11,6.135907e-05,-3.354283794779614e-11,6.135907e-05,13.99320578759997,6.135907e-05,3.396528893184144
7.054801999999999e-05,3.593616413369091e-12,7.054801999999999e-05,-1.276691061202365,7.054801999999999e-05,-0.08362537282896002,7.054801999999999e-05,-2.239868681512003e-11,7.054801999999999e-05,-2.818253425360251e-11,7.054801999999999e-05,18.23487526217186,7.054801999999999e-05,2.258599065805491
8.111308e-05,3.122441115376816e-12,8.111308e-05,-1.146528961362028,8.111308e-05,-0.07729502641999304,8.111308e-05,-2.050192697529103e-11,8.111308e-05,-2.405686015430351e-11,8.111308e-05,21.07570757050994,8.111308e-05,1.531414746161043
9.326032999999999e-05,2.712101279238124e-12,9.326032999999999e-05,-1.028565653720296,9.326032999999999e-05,-0.07121064025267643,9.326032999999999e-05,-1.835424042711347e-11,9.326032999999999e-05,-2.069798526540304e-11,9.326032999999999e-05,22.60037093681573,9.326032999999999e-05,1.056114724436403
