kgds_n X,kgds_n Y
1e-09,0.6046357694209381
1.013925e-09,0.6046099806315947
1.028045e-09,0.6046035548966276
1.042361e-09,0.6045934204286908
1.056876e-09,0.604570988687986
1.071593e-09,0.6045662736717781
1.086516e-09,0.604550097758942
1.101646e-09,0.6045204419667326
1.116987e-09,0.6045231485097725
1.132541e-09,0.6045025319395361
1.148312e-09,0.604494492453031
1.164303e-09,0.604476980993368
1.180517e-09,0.6044651997407702
1.196956e-09,0.6044500966634457
1.213624e-09,0.6044172766751226
1.230524e-09,0.6044203651189441
1.24766e-09,0.6043898168389108
1.265034e-09,0.6043885281394623
1.28265e-09,0.604373393122326
1.300511e-09,0.6043523905845644
1.318621e-09,0.6043414913907784
1.336984e-09,0.6043255720208484
1.355602e-09,0.604304778086136
1.374479e-09,0.6042961785760721
1.393619e-09,0.6042772593877874
1.413026e-09,0.6042637200477012
1.432703e-09,0.6042472432834423
1.452654e-09,0.6042312696016883
1.472883e-09,0.604214382588795
1.493393e-09,0.6041981400928406
1.514189e-09,0.604181956158048
1.535275e-09,0.6041650628395606
1.556654e-09,0.6041292159869694
1.578331e-09,0.6041181360877492
1.60031e-09,0.6041139163197845
1.622595e-09,0.6040901420681433
1.645191e-09,0.6040598504821314
1.668101e-09,0.60406186846886
1.69133e-09,0.6040435815764034
1.714882e-09,0.6040229420964023
1.738762e-09,0.6039946365671014
1.762975e-09,0.6039906704811205
1.787526e-09,0.6039717730098563
1.812418e-09,0.6039492411257157
1.837656e-09,0.6039360099397305
1.863246e-09,0.6039171523615146
1.889193e-09,0.6038956962099634
1.915501e-09,0.6038702673211733
1.942175e-09,0.6038503247568008
1.96922e-09,0.6038301260577353
1.996642e-09,0.6038096547156815
2.024447e-09,0.6037888921762045
2.052638e-09,0.6037678175626445
2.081222e-09,0.603746407365818
2.110203e-09,0.6037449363107573
2.139589e-09,0.6037250680861783
2.169384e-09,0.603705056856811
2.199593e-09,0.6036849011426985
2.230223e-09,0.6036645993641117
2.26128e-09,0.603644149815832
2.292769e-09,0.6036072494355407
2.324697e-09,0.6035984898699968
2.357069e-09,0.6035711325887816
2.389893e-09,0.6035609502423045
2.423173e-09,0.6035394983486595
2.456916e-09,0.6035171935898905
2.49113e-09,0.603496480896067
2.52582e-09,0.6034588087344941
2.560993e-09,0.6034359109361019
2.596656e-09,0.6034152935793824
2.632815e-09,0.6034094396140914
2.669478e-09,0.6033844076468271
2.706652e-09,0.6033612547627205
2.744343e-09,0.6033316454169863
2.782559e-09,0.6033026323129321
2.821308e-09,0.6032848928694402
2.860596e-09,0.6032705015753076
2.90043e-09,0.6032496509226313
2.94082e-09,0.60322671358194
2.981772e-09,0.6031951010037553
3.023295e-09,0.6031785947157999
3.065395e-09,0.6031475496509947
3.108082e-09,0.6031313412383068
3.151363e-09,0.6031055785430192
3.195248e-09,0.603073592687012
3.239743e-09,0.6030579593146186
3.284857e-09,0.6030329580707257
3.3306e-09,0.6030073935284753
3.37698e-09,0.6029809333392311
3.424006e-09,0.6029533023240455
3.471687e-09,0.6029245064649624
3.520031e-09,0.6028950038590056
3.569049e-09,0.6028656962398603
3.61875e-09,0.6028376417415693
3.669142e-09,0.602811633076192
3.720237e-09,0.6027877334339098
3.772042e-09,0.6027651495221034
3.824570000000001e-09,0.6027425333580215
3.877828000000001e-09,0.6027186490899153
3.931829e-09,0.6026930344783054
3.986581e-09,0.6026660865820741
4.042096e-09,0.6026318894343249
4.098384000000001e-09,0.6026105292503655
4.155455e-09,0.6025823013421282
4.213322e-09,0.6025351233791932
4.271994000000001e-09,0.6025242443933092
4.331483000000001e-09,0.6024970135687741
4.391801e-09,0.6024648591457352
4.452959e-09,0.6024386765624832
4.514968e-09,0.6024096210129294
4.577841e-09,0.6023800816679833
4.641589e-09,0.6023502541893204
4.706225e-09,0.6023200969364603
4.771761e-09,0.6022889284407488
4.838210000000001e-09,0.6022531328426048
4.905584000000001e-09,0.6022290765387798
4.973896e-09,0.6021971897501323
5.043159e-09,0.6021658625776816
5.113388e-09,0.6021341730761978
5.184594e-09,0.6020983915935834
5.256791e-09,0.60207200222637
5.329994e-09,0.6020402812920158
5.404216e-09,0.6020080621340246
5.479472000000001e-09,0.6019751481623355
5.555776e-09,0.6019406539911973
5.633143e-09,0.6019011089949479
5.711586e-09,0.6018683987707193
5.791123e-09,0.6018317021550155
5.871766e-09,0.6018091877483613
5.953533000000001e-09,0.601775581333493
6.036439e-09,0.60173123243116
6.120498000000001e-09,0.6016980559587474
6.205729e-09,0.6016575462883815
6.292146e-09,0.6016285698898599
6.379767000000001e-09,0.6015970166800716
6.468608e-09,0.601562621915651
6.558686e-09,0.6015260564699491
6.650018000000001e-09,0.6014752632783741
6.742622000000001e-09,0.6014585822254579
6.836516e-09,0.6014220059030347
6.931717e-09,0.6013851139623767
7.028244e-09,0.6013478603166691
7.126115000000001e-09,0.6013101609516642
7.225349e-09,0.6012718639228165
7.325965e-09,0.6012326979986896
7.427982e-09,0.6011921871124519
7.53142e-09,0.6011496569462387
7.636298e-09,0.6011198495382906
7.742637e-09,0.6010808471557684
7.850456000000001e-09,0.6010414709949885
7.959777e-09,0.6010014978010305
8.070620000000001e-09,0.600959661645494
8.183007e-09,0.6009091030325855
8.296959e-09,0.6008814294944537
8.412497000000001e-09,0.6008389568507088
8.529645e-09,0.6007930430613293
8.648423e-09,0.6007582852359747
8.768855999999999e-09,0.6007165910696309
8.890966000000001e-09,0.6006633377564115
9.014776e-09,0.6006313674355226
9.140311000000001e-09,0.6005898190008997
