kcgd_n X,kcgd_n Y,kgds_n X,kgds_n Y,vs X,vs Y,gmn X,gmn Y,kcgs_n X,kcgs_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y
4.037017e-09,-2.630848946969e-07,4.037017e-09,0.4945897497843436,4.037017e-09,1.29566141617441,4.037017e-09,6.305988788444215e-08,4.037017e-09,-3.070071635724658e-07,4.037017e-09,799963194.5860306,4.037017e-09,24.94987142041147,4.037017e-09,2.527463441468997e-09
4.641589e-09,-2.29306639041471e-07,4.641589e-09,0.4907256903881682,4.641589e-09,1.291991021307481,4.641589e-09,7.218808634572206e-08,4.641589e-09,-2.681207186924009e-07,4.641589e-09,702742444.8398446,4.641589e-09,24.89433382712815,4.641589e-09,2.899779799170862e-09
5.336699000000001e-09,-1.998422261488436e-07,5.336699000000001e-09,0.4868780138323894,5.336699000000001e-09,1.288309267123304,5.336699000000001e-09,8.264163306519116e-08,5.336699000000001e-09,-2.341456168643298e-07,5.336699000000001e-09,617283326.1530266,5.336699000000001e-09,24.8372552235911,5.336699000000001e-09,3.327325516496521e-09
6.135907e-09,-1.741648467448822e-07,6.135907e-09,0.4830491746925895,6.135907e-09,1.284619055243956,6.135907e-09,9.460192804341116e-08,6.135907e-09,-2.044889663290215e-07,6.135907e-09,542232640.4053169,6.135907e-09,24.7786127877729,6.135907e-09,3.817886370543424e-09
7.054802e-09,-1.517985170017238e-07,7.054802e-09,0.4792401831583525,7.054802e-09,1.280921963543695,7.054802e-09,1.082771211829491e-07,7.054802e-09,-1.786139314680204e-07,7.054802e-09,476353978.3656207,7.054802e-09,24.7183639584371,7.054802e-09,4.380432352440986e-09
8.111308e-09,-1.323202669553359e-07,8.111308e-09,0.4754510921640141,8.111308e-09,1.277218670301173,8.111308e-09,1.238917455702493e-07,8.111308e-09,-1.560421436222129e-07,8.111308e-09,418538052.925585,8.111308e-09,24.65376040006137,8.111308e-09,5.025267689789869e-09
9.326033000000001e-09,-1.151243578794903e-07,9.326033000000001e-09,0.471625625353486,9.326033000000001e-09,1.273454244323428,9.326033000000001e-09,1.419987587614806e-07,9.326033000000001e-09,-1.360812603205224e-07,9.326033000000001e-09,367098926.4538332,9.326033000000001e-09,24.58470812759207,9.326033000000001e-09,5.775897685037458e-09
1.072267e-08,-1.004849093450506e-07,1.072267e-08,0.4679024252213466,1.072267e-08,1.26976602911795,1.072267e-08,1.622280148278805e-07,1.072267e-08,-1.190589947583755e-07,1.072267e-08,322966627.1679755,1.072267e-08,24.51538952170122,1.072267e-08,6.617394950395341e-09
1.232847e-08,-8.768045403609855e-08,1.232847e-08,0.4641839586284325,1.232847e-08,1.266058729976873,1.232847e-08,1.853781175022318e-07,1.232847e-08,-1.041450568564674e-07,1.232847e-08,284068770.8956574,1.232847e-08,24.44398945729355,1.232847e-08,7.583791419404289e-09
1.417474e-08,-7.650052026541723e-08,1.417474e-08,0.4604750200260442,1.417474e-08,1.262337555108396,1.417474e-08,2.118317069225365e-07,1.417474e-08,-9.110079289306968e-08,1.417474e-08,249843345.8177669,1.417474e-08,24.3705218201119,1.417474e-08,8.692128485641259e-09
1.629751e-08,-6.674901705365384e-08,1.629751e-08,0.4567783084107951,1.629751e-08,1.258605727666447,1.629751e-08,2.42026788896807e-07,1.629751e-08,-7.970324334960596e-08,1.629751e-08,219759382.6361761,1.629751e-08,24.29496831682227,1.629751e-08,9.962012946080828e-09
1.873817e-08,-5.824793186248147e-08,1.873817e-08,0.453095034845913,1.873817e-08,1.254865035631207,1.873817e-08,2.764639401548275e-07,1.873817e-08,-6.974954127727082e-08,1.873817e-08,193329299.5599049,1.873817e-08,24.21728617393345,1.873817e-08,1.141597527357969e-08
2.154435e-08,-5.083849968021717e-08,2.154435e-08,0.4494254528814801,2.154435e-08,1.251116327267278,2.154435e-08,3.157135667541511e-07,2.154435e-08,-6.105839604204863e-08,2.154435e-08,170113925.3384315,2.154435e-08,24.13741599582449,2.154435e-08,1.307984113994497e-08
2.477076e-08,-4.438072389613534e-08,2.477076e-08,0.4457692606746708,2.477076e-08,1.247359895216415,2.477076e-08,3.604235596582759e-07,2.477076e-08,-5.346966251463579e-08,2.477076e-08,149722572.9089785,2.477076e-08,24.05528852788375,2.477076e-08,1.498313184813768e-08
2.848036e-08,-3.870529260455823e-08,2.848036e-08,0.4420935054376587,2.848036e-08,1.243562208448019,2.848036e-08,4.118108904029429e-07,2.848036e-08,-4.678781349420096e-08,2.848036e-08,131661044.5150344,2.848036e-08,23.97006758570444,2.848036e-08,1.718021398690355e-08
3.274549e-08,-3.382579381528286e-08,3.274549e-08,0.4384791152376399,3.274549e-08,1.239807625503105,3.274549e-08,4.695183656196267e-07,3.274549e-08,-4.10321114362298e-08,3.274549e-08,116010713.6268642,3.274549e-08,23.88358937237787,3.274549e-08,1.96586182377863e-08
