kgmp X,kgmp Y,kgds X,kgds Y,ids X,ids Y,kcds X,kcds Y,kcgd X,kcgd Y,rds X,rds Y,kcgs X,kcgs Y
2.255111,-15.64580323046595,2.255111,-0.2709746842724959,2.255111,-3.282151784437988e-06,2.255111,-3.381754504571494e-13,2.255111,2.657751431127234e-10,2.255111,1124378.725701314,2.255111,4.965482812742107e-10
2.353725,-15.64580323008202,2.353725,-0.2709746842675238,2.353725,-3.425677303531987e-06,2.353725,-3.381754504314738e-13,2.353725,2.657751430872398e-10,2.353725,1077270.657457283,2.353725,4.965482812411558e-10
2.456652,-15.64580322971405,2.456652,-0.2709746842627591,2.456652,-3.575479063317863e-06,2.456652,-3.381754504068259e-13,2.456652,2.657751430628166e-10,2.456652,1032136.274810906,2.456652,4.965482812094757e-10
2.564079,-15.6458032293616,2.564079,-0.2709746842581947,2.564079,-3.731831518104859e-06,2.564079,-3.381754503832023e-13,2.564079,2.657751430394228e-10,2.564079,988892.8863041326,2.564079,4.965482811791314e-10
2.676204,-15.64580322902386,2.676204,-0.2709746842538212,2.676204,-3.895021123840311e-06,2.676204,-3.381754503605351e-13,2.676204,2.657751430170054e-10,2.676204,947461.2650009104,2.676204,4.965482811500532e-10
2.793232,-15.64580322870014,2.793232,-0.2709746842496301,2.793232,-4.065346862930197e-06,2.793232,-3.381754503389387e-13,2.793232,2.65775142995518e-10,2.793232,907765.5033342359,2.793232,4.965482811221811e-10
2.915377,-15.64580322839027,2.915377,-0.2709746842456163,2.915377,-4.243120792009136e-06,2.915377,-3.381754503182608e-13,2.915377,2.657751429749505e-10,2.915377,869732.8740347596,2.915377,4.965482810955031e-10
3.042864,-15.64580322809321,3.042864,-0.2709746842417698,3.042864,-4.428668613666174e-06,3.042864,-3.381754502983099e-13,3.042864,2.657751429552336e-10,3.042864,833293.6968856057,3.042864,4.965482810699281e-10
3.175925,-15.6458032278086,3.175925,-0.2709746842380843,3.175925,-4.622330273168266e-06,3.175925,-3.381754502793195e-13,3.175925,2.657751429363434e-10,3.175925,798381.2110604213,3.175925,4.965482810454253e-10
3.314806,-15.64580322753594,3.314806,-0.2709746842345534,3.314806,-4.824460581280598e-06,3.314806,-3.381754502611028e-13,3.314806,2.657751429182451e-10,3.314806,764931.4528095587,3.314806,4.965482810219495e-10
3.459759,-15.64580322727467,3.459759,-0.2709746842311704,3.459759,-5.035429864321086e-06,3.459759,-3.381754502435264e-13,3.459759,2.657751429009038e-10,3.459759,732883.1382710666,3.459759,4.965482809994558e-10
3.611051,-15.64580322702428,3.611051,-0.2709746842279288,3.611051,-5.255624642641513e-06,3.611051,-3.381754502268125e-13,3.611051,2.657751428842842e-10,3.611051,702177.551191484,3.611051,4.965482809778979e-10
3.768959,-15.64580322678442,3.768959,-0.270974684224823,3.768959,-5.485448338777625e-06,3.768959,-3.381754502107149e-13,3.768959,2.657751428683638e-10,3.768959,672758.4353508463,3.768959,4.965482809572468e-10
3.933773,-15.64580322655478,3.933773,-0.2709746842218485,3.933773,-5.725322016566461e-06,3.933773,-3.381754501952592e-13,3.933773,2.657751428531212e-10,3.933773,644571.8914946911,3.933773,4.96548280937476e-10
4.105793,-15.64580322633462,4.105793,-0.2709746842189976,4.105793,-5.975685152585176e-06,4.105793,-3.381754501805293e-13,4.105793,2.657751428385091e-10,4.105793,617566.2785842643,4.105793,4.965482809185223e-10
4.285335,-15.64580322612371,4.285335,-0.2709746842162664,4.285335,-6.23699644132213e-06,4.285335,-3.38175450166636e-13,4.285335,2.657751428245091e-10,4.285335,591692.1191842417,4.285335,4.965482809003628e-10
4.472729,-15.64580322592161,4.472729,-0.2709746842136496,4.472729,-6.50973463555958e-06,4.472729,-3.381754501529377e-13,4.472729,2.657751428110961e-10,4.472729,566902.0088142005,4.472729,4.965482808829643e-10
4.668318,-15.64580322572801,4.668318,-0.2709746842111422,4.668318,-6.794399423504441e-06,4.668318,-3.381754501401176e-13,4.668318,2.657751427982455e-10,4.668318,543150.5290980982,4.668318,4.96548280866296e-10
4.872459,-15.64580322554253,4.872459,-0.2709746842087402,4.872459,-7.09151234427539e-06,4.872459,-3.381754501275656e-13,4.872459,2.657751427859344e-10,4.872459,520394.1645525044,4.872459,4.965482808503269e-10
5.085527,-15.64580322536479,5.085527,-0.2709746842064388,5.085527,-7.401617743423601e-06,5.085527,-3.381754501156882e-13,5.085527,2.657751427741369e-10,5.085527,498591.2228611429,5.085527,4.965482808350241e-10
5.307913,-15.64580322519456,5.307913,-0.2709746842042339,5.307913,-7.725283770236823e-06,5.307913,-3.381754501043442e-13,5.307913,2.657751427628376e-10,5.307913,477701.7584897342,5.307913,4.965482808203679e-10
5.540023,-15.64580322503133,5.540023,-0.270974684202121,5.540023,-8.063103418656147e-06,5.540023,-3.381754500934002e-13,5.540023,2.657751427520035e-10,5.540023,457687.4995010514,5.540023,4.965482808063146e-10
5.782283,-15.64580322487499,5.782283,-0.2709746842000966,5.782283,-8.415695613708753e-06,5.782283,-3.381754500829742e-13,5.782283,2.657751427416266e-10,5.782283,438511.7774363453,5.782283,4.965482807928543e-10
6.035137,-15.64580322472529,6.035137,-0.2709746841981577,6.035137,-8.783706345451847e-06,6.035137,-3.381754500728855e-13,6.035137,2.657751427316905e-10,6.035137,420139.4601343821,6.035137,4.965482807799663e-10
6.299048,-15.64580322458178,6.299048,-0.2709746841962992,6.299048,-9.167809852502009e-06,6.299048,-3.381754500633478e-13,6.299048,2.657751427221652e-10,6.299048,402536.8873652245,6.299048,4.965482807676107e-10
6.5745,-15.64580322444433,6.5745,-0.2709746841945191,6.5745,-9.568709857317987e-06,6.5745,-3.381754500541578e-13,6.5745,2.657751427130412e-10,6.5745,385671.8091608033,6.5745,4.96548280755776e-10
