kcgd X,kcgd Y,kgmp X,kgmp Y,ids X,ids Y,kgds X,kgds Y,rds X,rds Y,kcds X,kcds Y,kcgs X,kcgs Y
2.456652,9.939808239013718e-11,2.456652,-12.63709852968502,2.456652,-1.030435478422914e-05,2.456652,-0.3778176158747524,2.456652,256860.3047945167,2.456652,-1.643836972476146e-13,2.456652,2.1645038831684e-10
2.564079,9.93980823830852e-11,2.564079,-12.63709852938876,2.564079,-1.07549548678326e-05,2.564079,-0.3778176158673585,2.564079,246098.6348307314,2.564079,-1.643836972350469e-13,2.564079,2.164503883051333e-10
2.676204,9.939808237633041e-11,2.676204,-12.63709852910499,2.676204,-1.122525928414465e-05,2.676204,-0.3778176158602754,2.676204,235787.8462930339,2.676204,-1.6438369722299e-13,2.676204,2.164503882939201e-10
2.793232,9.939808236985701e-11,2.793232,-12.63709852883303,2.793232,-1.171612968575228e-05,2.793232,-0.377817615853488,2.793232,225909.048613177,2.793232,-1.643836972115219e-13,2.793232,2.16450388283174e-10
2.915377,9.939808236365498e-11,2.915377,-12.63709852857247,2.915377,-1.222846540452727e-05,2.915377,-0.3778176158469851,2.915377,216444.1426806142,2.915377,-1.643836972004638e-13,2.915377,2.164503882728782e-10
3.042864,9.939808235771455e-11,3.042864,-12.63709852832291,3.042864,-1.276320509930807e-05,3.042864,-0.3778176158407557,3.042864,207375.7876827964,3.042864,-1.643836971899431e-13,3.042864,2.16450388263017e-10
3.175925,9.939808235202021e-11,3.175925,-12.63709852808369,3.175925,-1.332132847563303e-05,3.175925,-0.3778176158347859,3.175925,198687.3693347721,3.175925,-1.643836971797796e-13,3.175925,2.16450388253564e-10
3.314806,9.939808234656623e-11,3.314806,-12.63709852785457,3.314806,-1.390385808067339e-05,3.314806,-0.377817615829067,3.314806,190362.9694399031,3.314806,-1.64383697170119e-13,3.314806,2.164503882445102e-10
3.459759,9.939808234134173e-11,3.459759,-12.63709852763508,3.459759,-1.451186117666078e-05,3.459759,-0.3778176158235884,3.459759,182387.3367258458,3.459759,-1.643836971608321e-13,3.459759,2.164503882358374e-10
3.611051,9.939808233633322e-11,3.611051,-12.63709852742466,3.611051,-1.514645169623616e-05,3.611051,-0.3778176158183375,3.611051,174745.8589024424,3.611051,-1.643836971519361e-13,3.611051,2.164503882275229e-10
3.768959,9.939808233153606e-11,3.768959,-12.63709852722313,3.768959,-1.580879228330269e-05,3.768959,-0.3778176158133076,3.768959,167424.5358903172,3.768959,-1.643836971433516e-13,3.768959,2.164503882195594e-10
