kcgd_n X,kcgd_n Y
2.821308e-09,-2.302411896505351e-07
2.860596e-09,-2.273037111903329e-07
2.90043e-09,-2.242523275079429e-07
2.94082e-09,-2.211964937115741e-07
2.981772e-09,-2.17984681037168e-07
3.023295e-09,-2.151694735039257e-07
3.065395e-09,-2.120662991283118e-07
3.108082e-09,-2.093413936257538e-07
3.151363e-09,-2.064458388489708e-07
3.195248e-09,-2.034603120146386e-07
3.239743e-09,-2.008687602170919e-07
3.284857e-09,-1.981176471788445e-07
3.3306e-09,-1.953963732239259e-07
3.37698e-09,-1.926980775402937e-07
3.424006e-09,-1.900174496251396e-07
3.471687e-09,-1.873550288052491e-07
3.520031e-09,-1.847200686060322e-07
3.569049e-09,-1.821296907650006e-07
3.61875e-09,-1.796028696353092e-07
3.669142e-09,-1.771524843024906e-07
3.720237e-09,-1.747773357825222e-07
3.772042e-09,-1.724609151234169e-07
3.824570000000001e-09,-1.701778505193291e-07
3.877828000000001e-09,-1.679061695732659e-07
3.931829e-09,-1.656384305262556e-07
3.986581e-09,-1.633821379343679e-07
4.042096e-09,-1.610396626080839e-07
4.098384000000001e-09,-1.589440249341905e-07
4.155455e-09,-1.567680893231822e-07
4.213322e-09,-1.543253457848079e-07
4.271994000000001e-09,-1.524899103581553e-07
4.331483000000001e-09,-1.504272751746239e-07
4.391801e-09,-1.483212047970521e-07
4.452959e-09,-1.463368452600472e-07
4.514968e-09,-1.443399003014876e-07
4.577841e-09,-1.423663246710858e-07
4.641589e-09,-1.404187296019456e-07
4.706225e-09,-1.384962326063841e-07
4.771761e-09,-1.365891736232338e-07
4.838210000000001e-09,-1.346486882876611e-07
4.905584000000001e-09,-1.328957355334067e-07
4.973896e-09,-1.310652502047029e-07
5.043159e-09,-1.29270214566582e-07
5.113388e-09,-1.274980757846286e-07
5.184594e-09,-1.257018027776181e-07
5.256791e-09,-1.240499008994832e-07
5.329994e-09,-1.223574371734595e-07
5.404216e-09,-1.206849101380678e-07
5.479472000000001e-09,-1.190298537150343e-07
5.555776e-09,-1.173819504508703e-07
5.633143e-09,-1.157020042981836e-07
5.711586e-09,-1.141259221675565e-07
5.791123e-09,-1.12529885543433e-07
5.871766e-09,-1.111135248155539e-07
5.953533000000001e-09,-1.095980669877305e-07
6.036439e-09,-1.079924377768852e-07
6.120498000000001e-09,-1.065294212777448e-07
6.205729e-09,-1.050137578192539e-07
6.292146e-09,-1.036385640865343e-07
6.379767000000001e-09,-1.022581432933417e-07
6.468608e-09,-1.008707521970039e-07
6.558686e-09,-9.948379088765898e-08
6.650018000000001e-09,-9.798391032792816e-08
6.742622000000001e-09,-9.682698543472421e-08
6.836516e-09,-9.550280115002838e-08
6.931717e-09,-9.419630928551837e-08
7.028244e-09,-9.290688970759054e-08
7.126115000000001e-09,-9.163361807322305e-08
7.225349e-09,-9.037503269860376e-08
7.325965e-09,-8.912874405289559e-08
7.427982e-09,-8.7890799240458e-08
7.53142e-09,-8.665586964138713e-08
7.636298e-09,-8.554347703836461e-08
7.742637e-09,-8.437416321706094e-08
7.850456000000001e-09,-8.322015636149326e-08
7.959777e-09,-8.207956567236557e-08
8.070620000000001e-09,-8.094270360561591e-08
8.183007e-09,-7.975878541639279e-08
8.296959e-09,-7.876263010918393e-08
8.412497000000001e-09,-7.767360902972345e-08
8.529645e-09,-7.657735607415321e-08
8.648423e-09,-7.557693299928349e-08
8.768855999999999e-09,-7.454365198010999e-08
8.890966000000001e-09,-7.344820539557967e-08
9.014776e-09,-7.251318319783521e-08
9.140311000000001e-09,-7.152885011050024e-08
9.267593e-09,-7.051330606228996e-08
9.396648000000002e-09,-6.958126350780448e-08
9.5275e-09,-6.863488140416132e-08
9.660175000000001e-09,-6.767574921440108e-08
9.794697e-09,-6.674055812524663e-08
9.931092000000001e-09,-6.581361663044492e-08
1.006939e-08,-6.489280554106457e-08
1.020961e-08,-6.397517929205588e-08
1.035178e-08,-6.319548108571152e-08
1.049593e-08,-6.230585508555377e-08
1.064209e-08,-6.13903113516378e-08
1.079029e-08,-6.063883293810751e-08
1.094055e-08,-5.975500879387396e-08
1.10929e-08,-5.899140523245751e-08
1.124737e-08,-5.810519863894143e-08
1.1404e-08,-5.739066138691047e-08
1.15628e-08,-5.658945167679865e-08
1.172382e-08,-5.580529519298556e-08
1.188708e-08,-5.500924346564959e-08
1.205261e-08,-5.429847761261507e-08
1.222045e-08,-5.356878840363995e-08
1.239062e-08,-5.284177037759013e-08
1.256317e-08,-5.201611235247942e-08
1.273811e-08,-5.140044755797603e-08
1.29155e-08,-5.069200818537455e-08
1.309535e-08,-4.999172850841443e-08
1.327771e-08,-4.929998272005325e-08
1.346261e-08,-4.861721786328589e-08
1.365008e-08,-4.797732863587897e-08
1.384016e-08,-4.726907754309084e-08
1.403289e-08,-4.668704765047292e-08
1.42283e-08,-4.604799492836297e-08
1.442644e-08,-4.541789775788156e-08
1.462733e-08,-4.479912423808897e-08
1.483103e-08,-4.418688179700043e-08
1.503755e-08,-4.358285409199172e-08
1.524696e-08,-4.298699520042033e-08
1.545928e-08,-4.239920233759652e-08
1.567455e-08,-4.181939058256297e-08
1.589283e-08,-4.124748841802618e-08
1.611414e-08,-4.067981474575318e-08
1.633854e-08,-4.011039611425111e-08
1.656606e-08,-3.95347452081583e-08
1.679675e-08,-3.903993692192527e-08
1.703065e-08,-3.850614740611565e-08
1.726781e-08,-3.797942323299969e-08
1.750827e-08,-3.745963755830639e-08
1.775208e-08,-3.694671374688379e-08
1.799929e-08,-3.644061565134773e-08
1.824993e-08,-3.594229871240703e-08
1.850407e-08,-3.545151787318375e-08
1.876175e-08,-3.496741184703228e-08
1.902301e-08,-3.448989226304562e-08
1.928792e-08,-3.401887183426246e-08
1.955651e-08,-3.355426417438548e-08
1.982884e-08,-3.309598392508247e-08
2.010496e-08,-3.264394668535435e-08
2.038493e-08,-3.219806904564785e-08
2.06688e-08,-3.175826857023325e-08
2.095662e-08,-3.132446384112204e-08
2.124845e-08,-3.089657434950907e-08
2.154435e-08,-3.047452060061593e-08
2.184436e-08,-3.005822407807904e-08
2.214855e-08,-2.964760719943203e-08
