kgds X,kgds Y,kcgd X,kcgd Y,kcgs X,kcgs Y,rds X,rds Y,vd X,vd Y,kgmp X,kgmp Y,ids X,ids Y,kcds X,kcds Y
180.4722,-0.1087872800708147,180.4722,6.996012324320467e-12,180.4722,3.622670896484724e-11,180.4722,1658.534735071623,180.4722,-5.98630607657589,180.4722,-6.280778578266144,180.4722,-0.005542392904126614,180.4722,-2.24220234877705e-16
191.4482,-0.1096718215296136,191.4482,7.134241945253058e-12,191.4482,3.68338682380282e-11,191.4482,1577.833666107336,191.4482,-5.811584536502926,191.4482,-6.322119634824631,191.4482,-0.00577888064754707,191.4482,-2.383630207146103e-16
203.0918,-0.1106203076597997,203.0918,7.283613204906381e-12,203.0918,3.748560588539621e-11,203.0918,1501.733709520785,203.0918,-5.628994249636795,203.0918,-6.365858812517703,203.0918,-0.006019663412199226,203.0918,-2.544270423887018e-16
215.4435,-0.1116107721508437,215.4435,7.440800495158152e-12,215.4435,3.816653746791712e-11,215.4435,1429.572060314361,215.4435,-5.44337598936918,215.4435,-6.410865138120875,215.4435,-0.006267406094939388,215.4435,-2.722488232900672e-16
228.5464,-0.112634707210502,228.5464,7.604520690589118e-12,228.5464,3.887040679334934e-11,228.5464,1360.978090531738,228.5464,-5.256761481179616,228.5464,-6.456661186411211,228.5464,-0.006523439390589384,228.5464,-2.918578222287296e-16
242.4462,-0.1137576482090449,242.4462,7.785418530959237e-12,242.4462,3.964181334730516e-11,242.4462,1296.524431405241,242.4462,-5.058308518371391,242.4462,-6.506039170989236,242.4462,-0.006780140445863816,242.4462,-3.148132786906737e-16
257.1914,-0.114922723563374,257.1914,7.974475124648234e-12,257.1914,4.04408669788413e-11,257.1914,1235.196273322211,257.1914,-4.85890853253131,257.1914,-6.556301872960149,257.1914,-0.007044628857585038,257.1914,-3.403345213980308e-16
272.8333,-0.1161388162137181,272.8333,8.173173050363406e-12,272.8333,4.127279357522972e-11,272.8333,1176.883908364884,272.8333,-4.657675453113192,272.8333,-6.607703062298858,272.8333,-0.007316257464851808,272.8333,-3.689315880099675e-16
289.4266,-0.1174828668627317,289.4266,8.394251502818375e-12,289.4266,4.218898745893949e-11,289.4266,1122.100739002492,289.4266,-4.443402081176432,289.4266,-6.663258725603728,289.4266,-0.007585664239085084,289.4266,-4.029912455461235e-16
307.0291,-0.1188992339091185,307.0291,8.628683977570952e-12,307.0291,4.314957351962838e-11,307.0291,1069.992555746626,307.0291,-4.226394325430802,307.0291,-6.720341956113039,307.0291,-0.007860319286086664,307.0291,-4.418575292475019e-16
325.7021,-0.1204185900297997,325.7021,8.881586480631523e-12,325.7021,4.417318872930959e-11,325.7021,1020.581876445029,325.7021,-4.003363220369278,325.7021,-6.779901736452464,325.7021,-0.008136893099450388,325.7021,-4.871572104193998e-16
