kcgs_n X,kcgs_n Y,gmn X,gmn Y,kcgd_n X,kcgd_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y,kgds_n X,kgds_n Y
3.697132e-07,-1.69301509925114e-09,3.697132e-07,0.0001126091189018145,3.697132e-07,-1.129137734214975e-09,3.697132e-07,424342.3451913731,3.697132e-07,24.62236354693406,3.697132e-07,4.573448795326408e-06,3.697132e-07,0.5152758717341372
4.086107e-07,-1.556909973475369e-09,4.086107e-07,0.0001230269530101956,4.086107e-07,-1.02797560077605e-09,4.086107e-07,387798.281243803,4.086107e-07,24.47960605254573,4.086107e-07,5.025691702150638e-06,4.086107e-07,0.5130955835851458
4.516005e-07,-1.429356354005127e-09,4.516005e-07,0.0001346793081667646,4.516005e-07,-9.3365766677666e-10,4.516005e-07,353661.4166122325,4.516005e-07,24.32845879993336,4.516005e-07,5.535875053751186e-06,4.516005e-07,0.5107707730237235
4.991134e-07,-1.314952486304846e-09,4.991134e-07,0.0001471495517410705,4.991134e-07,-8.49536048760629e-10,4.991134e-07,323153.7354984897,4.991134e-07,24.17533547126193,4.991134e-07,6.086763590767637e-06,4.991134e-07,0.5083986461269907
5.51625e-07,-1.210090714890023e-09,5.51625e-07,0.0001607557708409995,5.51625e-07,-7.728921835225507e-10,5.51625e-07,295300.0947313551,5.51625e-07,24.01706319118369,5.51625e-07,6.693398337728927e-06,5.51625e-07,0.5059291959263061
6.096614e-07,-1.114006182356115e-09,6.096614e-07,0.0001755867770132653,6.096614e-07,-7.031171520516154e-10,6.096614e-07,269887.6015974203,6.096614e-07,23.85357927851629,6.096614e-07,7.36102431266604e-06,6.096614e-07,0.5033601309617513
6.738038e-07,-1.025968736617416e-09,6.738038e-07,0.0001917386960789816,6.738038e-07,-6.39630196663863e-10,6.738038e-07,246712.9274484254,6.738038e-07,23.68478213629006,6.738038e-07,8.095438453925976e-06,6.738038e-07,0.5006886170959971
7.446946e-07,-9.4529155464034e-10,7.446946e-07,0.0002093152767167996,7.446946e-07,-5.818852217560761e-10,7.446946e-07,225584.6516531778,7.446946e-07,23.51053182649735,7.446946e-07,8.903043038817714e-06,7.446946e-07,0.4979112963271412
8.230438e-07,-8.713358281160662e-10,8.230438e-07,0.00022842807462082,8.230438e-07,-5.293742371739367e-10,8.230438e-07,206324.52290844,8.230438e-07,23.33065140890051,8.230438e-07,9.790899988916553e-06,8.230438e-07,0.4950243202065314
9.096361e-07,-8.035124008207047e-10,9.096361e-07,0.0002491965253293998,9.096361e-07,-4.816284575836753e-10,9.096361e-07,188767.8866643586,9.096361e-07,23.14492868718593,9.096361e-07,1.076678734669708e-05,9.096361e-07,0.4920233921443996
1.005339e-06,-7.412812112924693e-10,1.005339e-06,0.0002717479220223842,1.005339e-06,-4.382177341208926e-10,1.005339e-06,172763.5162172023,1.005339e-06,22.9531181543284,1.005339e-06,1.183925949386267e-05,1.005339e-06,0.4889038146824742
1.11111e-06,-6.841492857192745e-10,1.11111e-06,0.0002962173116584483,1.11111e-06,-3.987489016353991e-10,1.11111e-06,158173.0536892588,1.11111e-06,22.75494309838939,1.11111e-06,1.301771269555118e-05,1.11111e-06,0.4856605400936556
1.22801e-06,-6.309382654177744e-10,1.22801e-06,0.0003231483160696303,1.22801e-06,-3.623673452808937e-10,1.22801e-06,144686.0276540737,1.22801e-06,22.54707383639787,1.22801e-06,1.43321620541274e-05,1.22801e-06,0.4822382966376791
1.357209e-06,-5.830209680357921e-10,1.357209e-06,0.000351751996847857,1.357209e-06,-3.299606903035222e-10,1.357209e-06,132637.7305278846,1.357209e-06,22.33634820279111,1.357209e-06,1.574796352807138e-05,1.357209e-06,0.47874970276099
