kcdg_p X,kcdg_p Y,kcgs_n X,kcgs_n Y,reff X,reff Y,gm_n X,gm_n Y,kgds_p X,kgds_p Y,gm_n2 X,gm_n2 Y,kgmp X,kgmp Y,kgmn X,kgmn Y,kcgd_n X,kcgd_n Y,reff_2 X,reff_2 Y,kcsg_p X,kcsg_p Y,kgds_n X,kgds_n Y
5.336699000000001e-09,1.972351239793654e-08,5.336699000000001e-09,-1.493375472548724e-07,5.336699000000001e-09,152719724.5449918,5.336699000000001e-09,1.483388445272855e-07,5.336699000000001e-09,-0.6110895217233789,5.336699000000001e-09,1.484625006822866e-07,5.336699000000001e-09,-26.84444056762083,5.336699000000001e-09,27.8078690413913,5.336699000000001e-09,-1.233126343543112e-07,5.336699000000001e-09,6987851.564842551,5.336699000000001e-09,2.196215812323319e-08,5.336699000000001e-09,0.6166294206985774
6.135907e-09,1.712655381730199e-08,6.135907e-09,-1.299906370735857e-07,6.135907e-09,133421488.1142012,6.135907e-09,1.703889873054443e-07,6.135907e-09,-0.6054249560567757,6.135907e-09,1.703890835016726e-07,6.135907e-09,-26.7194472440235,6.135907e-09,27.77565805958302,6.135907e-09,-1.073095547507761e-07,6.135907e-09,6100166.917997289,6.135907e-09,1.914041131326601e-08,6.135907e-09,0.6162915126660956
7.054802e-09,1.489543039262568e-08,7.054802e-09,-1.131187634817531e-07,7.054802e-09,116500215.2383025,7.054802e-09,1.957642209344864e-07,7.054802e-09,-0.6006756065624339,7.054802e-09,1.95760947440795e-07,7.054802e-09,-26.58767912540316,7.054802e-09,27.74146449781479,7.054802e-09,-9.335482759107589e-08,7.054802e-09,5331796.330958876,7.054802e-09,1.670105073627526e-08,7.054802e-09,0.6159263597914457
8.111308e-09,1.295555447475571e-08,8.111308e-09,-9.849749055654473e-08,8.111308e-09,101757719.0575294,8.111308e-09,2.247725132145072e-07,8.111308e-09,-0.5959328851506699,8.111308e-09,2.247725080027147e-07,8.111308e-09,-26.44837505308539,8.111308e-09,27.70537197936147,8.111308e-09,-8.12627640961133e-08,8.111308e-09,4661732.921486259,8.111308e-09,1.457684344128154e-08,8.111308e-09,0.6155441907524971
9.326033000000001e-09,1.127757043152717e-08,9.326033000000001e-09,-8.580069790364638e-08,9.326033000000001e-09,88884630.16672525,9.326033000000001e-09,2.579674920889093e-07,9.326033000000001e-09,-0.5915966506450238,9.326033000000001e-09,2.580819862736912e-07,9.326033000000001e-09,-26.30146051870722,9.326033000000001e-09,27.66719910933105,9.326033000000001e-09,-7.076296544832904e-08,9.326033000000001e-09,4079114.285563303,9.326033000000001e-09,1.273271384404603e-08,9.326033000000001e-09,0.615140162468478
1.072267e-08,9.814616347294972e-09,1.072267e-08,-7.471799644598535e-08,1.072267e-08,77640524.7685311,1.072267e-08,2.961459852472449e-07,1.072267e-08,-0.5870421788242107,1.072267e-08,2.963647840108207e-07,1.072267e-08,-26.14628797934029,1.072267e-08,27.62659606444895,1.072267e-08,-6.159812534895694e-08,1.072267e-08,3570136.025795346,1.072267e-08,1.112442267774169e-08,1.072267e-08,0.6147039348167246
1.232847e-08,8.527110317586602e-09,1.232847e-08,-6.499489911826875e-08,1.232847e-08,67802514.95176108,1.232847e-08,3.403421779381109e-07,1.232847e-08,-0.5816407846805773,1.232847e-08,3.404335319136952e-07,1.232847e-08,-25.98167911431249,1.232847e-08,27.58312006363651,1.232847e-08,-5.355746081263164e-08,1.232847e-08,3122582.867411504,1.232847e-08,9.712857335834531e-09,1.232847e-08,0.6142260864109963
1.417474e-08,7.409585986876399e-09,1.417474e-08,-5.665647428661882e-08,1.417474e-08,59291434.21589944,1.417474e-08,3.903045988402565e-07,1.417474e-08,-0.5760845168696616,1.417474e-08,3.901777317131542e-07,1.417474e-08,-25.80830890016726,1.417474e-08,27.53761243327993,1.417474e-08,-4.666231046594157e-08,1.417474e-08,2732846.405722789,1.417474e-08,8.4860557618005e-09,1.417474e-08,0.6137392673866016
1.629751e-08,6.448218225500285e-09,1.629751e-08,-4.934783420804525e-08,1.629751e-08,51803215.42143787,1.629751e-08,4.479580761379777e-07,1.629751e-08,-0.5713425671048307,1.629751e-08,4.47958099097606e-07,1.629751e-08,-25.62577751879547,1.629751e-08,27.48895954211213,1.629751e-08,-4.061831983062964e-08,1.629751e-08,2394537.951132503,1.629751e-08,7.423316607215533e-09,1.629751e-08,0.6132077792480646
1.873817e-08,5.608407341995642e-09,1.873817e-08,-4.298580006814349e-08,1.873817e-08,45273969.82892046,1.873817e-08,5.140805407849173e-07,1.873817e-08,-0.5661917932476751,1.873817e-08,5.140805709746328e-07,1.873817e-08,-25.43297142554015,1.873817e-08,27.43724762586169,1.873817e-08,-3.535688057983421e-08,1.873817e-08,2098424.120148716,1.873817e-08,6.495150772425773e-09,1.873817e-08,0.6126395331333915
2.154435e-08,4.88410147122256e-09,2.154435e-08,-3.745364293449258e-08,2.154435e-08,39565552.81541973,2.154435e-08,5.898148153357021e-07,2.154435e-08,-0.5615334169223696,2.154435e-08,5.901961201934917e-07,2.154435e-08,-25.23012125895285,2.154435e-08,27.38233395342969,2.154435e-08,-3.078144081712886e-08,2.154435e-08,1841109.328947925,2.154435e-08,5.690404095920162e-09,2.154435e-08,0.6120328890188166
2.477076e-08,4.248243968874353e-09,2.477076e-08,-3.263351413302191e-08,2.477076e-08,34588142.77121527,2.477076e-08,6.767170383766558e-07,2.477076e-08,-0.5561865152487125,2.477076e-08,6.771852441600064e-07,2.477076e-08,-25.01526519963635,2.477076e-08,27.32389394121931,2.477076e-08,-2.679454115459256e-08,2.477076e-08,1615073.368358801,2.477076e-08,4.985103092160638e-09,2.477076e-08,0.6113840034811254
2.848036e-08,3.694518045694037e-09,2.848036e-08,-2.843854190230128e-08,2.848036e-08,30243811.09683291,2.848036e-08,7.763163125109002e-07,2.848036e-08,-0.5506146004217878,2.848036e-08,7.768094744876229e-07,2.848036e-08,-24.78812895428875,2.848036e-08,27.26175960804865,2.848036e-08,-2.332435799912863e-08,2.848036e-08,1417459.045692063,2.848036e-08,4.369900864493547e-09,2.848036e-08,0.6106906687013263
3.274549e-08,3.212489380166151e-09,3.274549e-08,-2.478771895923197e-08,3.274549e-08,26451478.65941917,3.274549e-08,8.904419104999328e-07,3.274549e-08,-0.5448199734843868,3.274549e-08,8.90879035337319e-07,3.274549e-08,-24.54778486066779,3.274549e-08,27.19569789225396,3.274549e-08,-2.03039317849763e-08,3.274549e-08,1244699.21816441,3.274549e-08,3.833282297383228e-09,3.274549e-08,0.6099500050521018
3.764936e-08,2.793021897105554e-09,3.764936e-08,-2.161043998403917e-08,3.764936e-08,23140418.50904442,3.764936e-08,1.021184198453207e-06,3.764936e-08,-0.5388056892033928,3.764936e-08,1.021466745009733e-06,3.764936e-08,-24.29317087354942,3.764936e-08,27.12546465727777,3.764936e-08,-1.767491448370112e-08,3.764936e-08,1093673.222960431,3.764936e-08,3.365174927422453e-09,3.764936e-08,0.6091590156471427
4.328761e-08,2.428260530484666e-09,4.328761e-08,-1.884536979004094e-08,4.328761e-08,20248865.20384486,4.328761e-08,1.170921359351529e-06,4.328761e-08,-0.5325995252224172,4.328761e-08,1.170971245623298e-06,4.328761e-08,-24.02312999451769,4.328761e-08,27.05080984890577,4.328761e-08,-1.538663058296796e-08,4.328761e-08,961682.7139556842,4.328761e-08,2.956869594610959e-09,4.328761e-08,0.6083146563846237
4.977024000000001e-08,2.111893592033869e-09,4.977024000000001e-08,-1.643942381338718e-08,4.977024000000001e-08,17722109.97731271,4.977024000000001e-08,1.342334823920791e-06,4.977024000000001e-08,-0.5263577425307194,4.977024000000001e-08,1.342334677947159e-06,4.977024000000001e-08,-23.73658903991179,4.977024000000001e-08,26.97148801073586,4.977024000000001e-08,-1.339523183467829e-08,4.977024000000001e-08,846484.9685610593,4.977024000000001e-08,2.601120574921105e-09,4.977024000000001e-08,0.6074139717121357
5.722368000000001e-08,1.839739709594271e-09,5.722368000000001e-08,-1.434817510016532e-08,5.722368000000001e-08,15511739.58386647,5.722368000000001e-08,1.538256746883568e-06,5.722368000000001e-08,-0.5205877718761968,5.722368000000001e-08,1.539491375729879e-06,5.722368000000001e-08,-23.43321026176017,5.722368000000001e-08,26.88733617676596,5.722368000000001e-08,-1.166403341109163e-08,5.722368000000001e-08,746424.7059563226,5.722368000000001e-08,2.292551920771795e-09,5.722368000000001e-08,0.6064549851784596
6.579332e-08,1.5996371831049e-09,6.579332e-08,-1.25246434122922e-08,6.579332e-08,13584163.28614172,6.579332e-08,1.762852379373283e-06,6.579332e-08,-0.5137858235046786,6.579332e-08,1.763987689464138e-06,6.579332e-08,-23.10853895741189,6.579332e-08,26.79780686854431,6.579332e-08,-1.015423238268948e-08,6.579332e-08,658184.1573367098,6.579332e-08,2.020663318787471e-09,6.579332e-08,0.6054314711655913
7.564633000000001e-08,1.391242326973837e-09,7.564633000000001e-08,-1.093805334773523e-08,7.564633000000001e-08,11899851.99809177,7.564633000000001e-08,2.019719160666197e-06,7.564633000000001e-08,-0.506837101909388,7.564633000000001e-08,2.020963732335987e-06,7.564633000000001e-08,-22.76275190064099,7.564633000000001e-08,26.70279816749801,7.564633000000001e-08,-8.840435526010608e-09,7.564633000000001e-08,581119.1330392197,7.564633000000001e-08,1.783300476304261e-09,7.564633000000001e-08,0.6043422900266053
8.69749e-08,1.209838217426224e-09,8.69749e-08,-9.557090069149846e-09,8.69749e-08,10428509.40516359,8.69749e-08,2.313487015964111e-06,8.69749e-08,-0.4995562565409511,8.69749e-08,2.314664424935271e-06,8.69749e-08,-22.393907531168,8.69749e-08,26.60199825831078,8.69749e-08,-7.696798587509817e-09,8.69749e-08,513688.9089822235,8.69749e-08,1.575559452011825e-09,8.69749e-08,0.6031840635391692
1e-07,1.051975599692685e-09,1e-07,-8.355020214680695e-09,1e-07,9142855.39917062,1e-07,2.649347259976266e-06,1e-07,-0.4919421863148332,1e-07,2.650239603455171e-06,1e-07,-22.00049410657986,1e-07,26.49511937911239,1e-07,-6.701265196764637e-09,1e-07,454687.9773492952,1e-07,1.393611815951719e-09,1e-07,0.601953833751586
1.149757e-07,9.146503795042496e-10,1.149757e-07,-7.308587422573564e-09,1.149757e-07,8019106.338433295,1.149757e-07,3.033193797118207e-06,1.149757e-07,-0.4840016863250081,1.149757e-07,3.033565397419146e-06,1.149757e-07,-21.58120542016691,1.149757e-07,26.38187429579427,1.149757e-07,-5.834652476698641e-09,1.149757e-07,403061.2271830054,1.149757e-07,1.234127178659175e-09,1.149757e-07,0.6006488133823318
1.321941e-07,7.953938243412102e-10,1.321941e-07,-6.397682733081678e-09,1.321941e-07,7036329.87696921,1.321941e-07,3.471640688938553e-06,1.321941e-07,-0.4758256640597308,1.321941e-07,3.471638049745255e-06,1.321941e-07,-21.13527097700546,1.321941e-07,26.26199707295161,1.321941e-07,-5.080378228633076e-09,1.321941e-07,357917.3277453213,1.321941e-07,1.094312403302156e-09,1.321941e-07,0.5992666548344144
1.519911e-07,6.918415983915487e-10,1.519911e-07,-5.604578991876848e-09,1.519911e-07,6176466.787663019,1.519911e-07,3.972277032626415e-06,1.519911e-07,-0.4674299082609067,1.519911e-07,3.972276932363369e-06,1.519911e-07,-20.66211347047406,1.519911e-07,26.13520005594002,1.519911e-07,-4.423826986105219e-09,1.519911e-07,318426.8761845295,1.519911e-07,9.715900842256041e-10,1.519911e-07,0.5978049825146399
1.747528e-07,6.025017853746319e-10,1.747528e-07,-4.914664818919895e-09,1.747528e-07,5423472.102500676,1.747528e-07,4.542958063137259e-06,1.747528e-07,-0.4591778444366846,1.747528e-07,4.545813060911386e-06,1.747528e-07,-20.16304510238229,1.747528e-07,26.00136910278714,1.747528e-07,-3.852957155376936e-09,1.747528e-07,283998.6804460572,1.747528e-07,8.641474234029869e-10,1.747528e-07,0.596263662336752
2.009233e-07,5.240252924902012e-10,2.009233e-07,-4.312703365193343e-09,2.009233e-07,4765019.119607852,2.009233e-07,5.195027118760003e-06,2.009233e-07,-0.450141071238604,2.009233e-07,5.198151271099702e-06,2.009233e-07,-19.63517572754062,2.009233e-07,25.85985522098342,2.009233e-07,-3.355205676746497e-09,2.009233e-07,253633.0089704498,2.009233e-07,7.689015816210564e-10,2.009233e-07,0.5946367095873122
2.31013e-07,4.557264690763551e-10,2.31013e-07,-3.788145554281752e-09,2.31013e-07,4188558.225443692,2.31013e-07,5.938743740580818e-06,2.31013e-07,-0.4407750458033634,2.31013e-07,5.941792592224722e-06,2.31013e-07,-19.08131523724738,2.31013e-07,25.71057884573442,2.31013e-07,-2.921883810996739e-09,2.31013e-07,226975.4018311664,2.31013e-07,6.848051248519208e-10,2.31013e-07,0.5929249515081364
2.656088e-07,3.962975840308229e-10,2.656088e-07,-3.33086787728419e-09,2.656088e-07,3683599.540669049,2.656088e-07,6.786595906693804e-06,2.656088e-07,-0.4311099844145391,2.656088e-07,6.789132786871706e-06,2.656088e-07,-18.5034205623908,2.656088e-07,25.5532751470005,2.656088e-07,-2.544649764425851e-09,2.656088e-07,203546.6499888594,2.656088e-07,6.104272866932598e-10,2.656088e-07,0.5911274415843703
3.053856e-07,3.44599228750382e-10,3.053856e-07,-2.93205762420571e-09,3.053856e-07,3240999.310042265,3.053856e-07,7.752699919714785e-06,3.053856e-07,-0.4211863770643304,3.053856e-07,7.754229239241683e-06,3.053856e-07,-17.90422666765958,3.053856e-07,25.38768234190093,3.053856e-07,-2.216240850727156e-09,3.053856e-07,182926.6721276245,3.053856e-07,5.445274121594063e-10,3.053856e-07,0.5892436124244355
3.511192e-07,2.996534089637615e-10,3.511192e-07,-2.584071057656838e-09,3.511192e-07,2852787.761297334,3.511192e-07,8.852904716973229e-06,3.511192e-07,-0.4110715590517512,3.511192e-07,8.853161402301809e-06,3.511192e-07,-17.28730400105467,3.511192e-07,25.21355271133048,3.511192e-07,-1.930355488600977e-09,3.511192e-07,164751.4397080287,3.511192e-07,4.860427437010154e-10,3.511192e-07,0.5872734187446034
4.037017e-07,2.606382909143097e-10,4.037017e-07,-2.280284586296869e-09,4.037017e-07,2511975.583008883,4.037017e-07,1.01048809021845e-05,4.037017e-07,-0.4008924498251459,4.037017e-07,1.010487293299467e-05,4.037017e-07,-16.65708957433386,4.037017e-07,25.03066005347246,4.037017e-07,-1.681529254422385e-09,4.037017e-07,148710.2663651793,4.037017e-07,4.340773654788374e-10,4.037017e-07,0.5852174306439994
4.641589e-07,2.267159100980577e-10,4.641589e-07,-2.014812734999666e-09,4.641589e-07,2212641.248662106,4.641589e-07,1.152905812424712e-05,4.641589e-07,-0.3906209204990201,4.641589e-07,1.152906024528455e-05,4.641589e-07,-16.01786695033263,4.641589e-07,24.83869039977395,4.641589e-07,-1.464902561833203e-09,4.641589e-07,134502.2718330275,4.641589e-07,3.877630494759382e-10,4.641589e-07,0.5830756184802821
5.336699e-07,1.974607498480944e-10,5.336699e-07,-1.782994095181463e-09,5.336699e-07,1949430.179350174,5.336699e-07,1.31451167666526e-05,5.336699e-07,-0.3807078356347326,5.336699e-07,1.31536791237527e-05,5.336699e-07,-15.3766274632683,5.336699e-07,24.63770858204808,5.336699e-07,-1.276614377270993e-09,5.336699e-07,121946.7269376647,5.336699e-07,3.466043212253985e-10,5.336699e-07,0.5808525665568431
6.135907e-07,1.716801624574471e-10,6.135907e-07,-1.579493662081795e-09,6.135907e-07,1718182.093729841,6.135907e-07,1.498567738495682e-05,6.135907e-07,-0.3701990162513606,6.135907e-07,1.49918780066462e-05,6.135907e-07,-14.73324480087788,6.135907e-07,24.42651278030858,6.135907e-07,-1.112261038154462e-09,6.135907e-07,110664.3912741956,6.135907e-07,3.094767837544334e-10,6.135907e-07,0.5785392329030687
7.054802e-07,1.493039585579417e-10,7.054802e-07,-1.401189310986974e-09,7.054802e-07,1514706.285919969,7.054802e-07,1.707463869043363e-05,7.054802e-07,-0.3598072829162482,7.054802e-07,1.707972987262198e-05,7.054802e-07,-14.09602109596347,7.054802e-07,24.20530640785824,7.054802e-07,-9.692365441351095e-10,7.054802e-07,100588.3742252488,7.054802e-07,2.762292438248182e-10,7.054802e-07,0.5761426390036488
8.111308000000001e-07,1.29842763038095e-10,8.111308000000001e-07,-1.244689838344964e-09,8.111308000000001e-07,1335588.586867436,8.111308000000001e-07,1.944461513747418e-05,8.111308000000001e-07,-0.3494892441286368,8.111308000000001e-07,1.944792078238346e-05,8.111308000000001e-07,-13.46890355250784,8.111308000000001e-07,23.97355750099137,8.111308000000001e-07,-8.447164382499367e-10,8.111308000000001e-07,91547.81586660472,8.111308000000001e-07,2.463739812066497e-10,8.111308000000001e-07,0.5736621798697701
9.326033000000001e-07,1.129217375549182e-10,9.326033000000001e-07,-1.107137420208074e-09,9.326033000000001e-07,1177833.279860551,9.326033000000001e-07,2.213101768980626e-05,9.326033000000001e-07,-0.3392966325563401,9.326033000000001e-07,2.213216655492973e-05,9.326033000000001e-07,-12.85568763391002,9.326033000000001e-07,23.73074154775218,9.326033000000001e-07,-7.363086456112811e-10,9.326033000000001e-07,83411.8584479511,9.326033000000001e-07,2.19537776996568e-10,9.326033000000001e-07,0.5710979855083946
1.072267e-06,9.82191740628871e-11,1.072267e-06,-9.86065635516236e-10,1.072267e-06,1038833.847975177,1.072267e-06,2.517276322576981e-05,1.072267e-06,-0.3292912466951483,1.072267e-06,2.51727266177793e-05,1.072267e-06,-12.25938761927513,1.072267e-06,23.47625376575926,1.072267e-06,-6.419376562096531e-10,1.072267e-06,76072.46831925763,1.072267e-06,1.954069381175835e-10,1.072267e-06,0.568450139990138
1.232847e-06,8.54401327217531e-11,1.232847e-06,-8.793123329590041e-10,1.232847e-06,916323.2523643246,1.232847e-06,2.861345113589022e-05,1.232847e-06,-0.3194849500041567,1.232847e-06,2.861344079176363e-05,1.232847e-06,-11.68180754138374,1.232847e-06,23.20930866252973,1.232847e-06,-5.597750353681371e-10,1.232847e-06,69435.36274131514,1.232847e-06,1.736994413761632e-10,1.232847e-06,0.5657179414069758
1.417474e-06,7.432451790021047e-11,1.417474e-06,-7.850097418717252e-10,1.417474e-06,808336.6782539194,1.417474e-06,3.250114913411739e-05,1.417474e-06,-0.3098561664427064,1.417474e-06,3.25011651891364e-05,1.417474e-06,-11.12370193982233,1.417474e-06,22.92896866495059,1.417474e-06,-4.882311685846043e-10,1.417474e-06,63421.38979777609,1.417474e-06,1.541703297951349e-10,1.417474e-06,0.562900683586624
1.629751e-06,6.465579051916892e-11,1.629751e-06,-7.015555136827167e-10,1.629751e-06,713142.5151388154,1.629751e-06,3.688799740887377e-05,1.629751e-06,-0.30040669202215,1.629751e-06,3.688802224471019e-05,1.629751e-06,-10.58502114793846,1.629751e-06,22.63416947306825,1.629751e-06,-4.259314482612033e-10,1.629751e-06,57967.88215606819,1.629751e-06,1.36616095656709e-10,1.629751e-06,0.5599985497003441
1.873817e-06,5.627098485243983e-11,1.873817e-06,-6.276325629349747e-10,1.873817e-06,629245.8262734662,1.873817e-06,4.182548304087065e-05,1.873817e-06,-0.2912489257686075,1.873817e-06,4.183416256072523e-05,1.873817e-06,-10.06560271172699,1.873817e-06,22.32399738101833,1.873817e-06,-3.717276676370927e-10,1.873817e-06,53032.63474515357,1.873817e-06,1.208865996125426e-10,1.873817e-06,0.557016258993446
2.154435e-06,4.8933348020527e-11,2.154435e-06,-5.615225815729516e-10,2.154435e-06,556169.0895628672,2.154435e-06,4.726561620615431e-05,2.154435e-06,-0.2820327709606869,2.154435e-06,4.726694055605638e-05,2.154435e-06,-9.562135210189854,2.154435e-06,21.93916893117373,2.154435e-06,-3.244515508010897e-10,2.154435e-06,48542.9387821894,2.154435e-06,1.06742083445299e-10,2.154435e-06,0.5525527363558735
2.477076e-06,4.256776595134609e-11,2.477076e-06,-5.030222767294843e-10,2.477076e-06,490936.9612406872,2.477076e-06,5.347315638467451e-05,2.477076e-06,-0.2730521092483683,2.477076e-06,5.347340149337363e-05,2.477076e-06,-9.074648527958946,2.477076e-06,21.58712737536809,2.477076e-06,-2.832975975744365e-10,2.477076e-06,44486.74027284404,2.477076e-06,9.411360758807372e-11,2.477076e-06,0.5492548134651201
2.848036e-06,3.703318162606884e-11,2.848036e-06,-4.508843781051733e-10,2.848036e-06,433426.9432292763,2.848036e-06,6.042030272318722e-05,2.848036e-06,-0.2642117112226552,2.848036e-06,6.042034610583698e-05,2.848036e-06,-8.600939836452985,2.848036e-06,21.21467975421817,2.848036e-06,-2.474600645281684e-10,2.848036e-06,40823.29986650185,2.848036e-06,8.285085457757202e-11,2.848036e-06,0.5458868497086821
3.274549e-06,3.221941653400634e-11,3.274549e-06,-4.043306830901488e-10,3.274549e-06,382709.4418476943,3.274549e-06,6.817692278717551e-05,3.274549e-06,-0.255484155874561,3.274549e-06,6.817697401725194e-05,3.274549e-06,-8.139252842825952,3.274549e-06,20.82021784080633,3.274549e-06,-2.162434308490404e-10,3.274549e-06,37520.07552049941,3.274549e-06,7.282820198770536e-11,3.274549e-06,0.5424717102340947
3.764936e-06,2.803243563988399e-11,3.764936e-06,-3.626984827437082e-10,3.764936e-06,337968.9067691344,3.764936e-06,7.681323723902119e-05,3.764936e-06,-0.2468510073906072,3.764936e-06,7.681326072470098e-05,3.764936e-06,-7.688222590971794,3.764936e-06,20.40225750162162,3.764936e-06,-1.890484956381112e-10,3.764936e-06,34547.48157452566,3.764936e-06,6.39308935731516e-11,3.764936e-06,0.5390457499633396
4.328761e-06,2.439067536338158e-11,4.328761e-06,-3.254143317474217e-10,4.328761e-06,298481.2963832148,4.328761e-06,8.639972895214986e-05,4.328761e-06,-0.238298815344866,4.328761e-06,8.639973114360361e-05,4.328761e-06,-7.246896676440715,4.328761e-06,19.95945591325729,4.328761e-06,-1.653525815056618e-10,4.328761e-06,31877.50452103659,4.328761e-06,5.605147715180936e-11,4.328761e-06,0.5356624388708533
4.977024e-06,2.123717326081247e-11,4.977024e-06,-2.920904449884157e-10,4.977024e-06,263719.7775107701,4.977024e-06,9.69673362138196e-05,4.977024e-06,-0.2298820365193204,4.977024e-06,9.697369114094391e-05,4.977024e-06,-6.816530491557088,4.977024e-06,19.49235985586528,4.977024e-06,-1.447657688656708e-10,4.977024e-06,29493.33756304896,4.977024e-06,4.911706600775566e-11,4.977024e-06,0.5324082940844469
