rds X,rds Y,kcds X,kcds Y,kcgs X,kcgs Y,kcgd X,kcgd Y,kgmp X,kgmp Y,kgds X,kgds Y,ids X,ids Y
0.0001,277599.7895460611,0.0001,-1.398330295013217e-16,0.0001,3.168493700430126e-11,0.0001,5.988791853933802e-12,0.0001,-5.951682131406427,0.0001,-0.102099605669597,0.0001,-3.528229303981201e-05
0.0001023411,276947.4004801484,0.0001023411,-1.378882936237628e-16,0.0001023411,3.155453332297858e-11,0.0001023411,5.960536198542344e-12,0.0001023411,-5.941673668900099,0.0001023411,-0.1019046819216025,0.0001023411,-3.543305262028221e-05
0.0001047371,276314.6216064905,0.0001047371,-1.360284835946655e-16,0.0001047371,3.142835254121435e-11,0.0001047371,5.933229225442872e-12,0.0001047371,-5.931957501371095,0.0001047371,-0.1017158626511312,0.0001047371,-3.558012310894176e-05
0.0001071891,275678.5665942233,0.0001071891,-1.341852599014615e-16,0.0001071891,3.130182048253498e-11,0.0001071891,5.905879787273313e-12,0.0001071891,-5.922181848334342,0.0001071891,-0.1015263103779935,0.0001071891,-3.572879707163014e-05
0.0001096986,275029.6076670566,0.0001096986,-1.323314306996587e-16,0.0001096986,3.117303246651357e-11,0.0001096986,5.878077281710449e-12,0.0001096986,-5.912198006409255,0.0001096986,-0.1013331615091043,0.0001096986,-3.588136517227298e-05
0.0001122668,274472.9448532322,0.0001122668,-1.307607582929731e-16,0.0001122668,3.106279395688051e-11,0.0001122668,5.854304894395104e-12,0.0001122668,-5.903628756309208,0.0001122668,-0.1011676450284548,0.0001122668,-3.601295989839279e-05
0.0001148951,273880.7440904386,0.0001148951,-1.291115912244187e-16,0.0001148951,3.094577333928355e-11,0.0001148951,5.829098385630265e-12,0.0001148951,-5.894503291492873,0.0001148951,-0.1009917665129742,0.0001148951,-3.615368186316379e-05
0.000117585,273298.2439783333,0.000117585,-1.275101348232164e-16,0.000117585,3.083091697902121e-11,0.000117585,5.804385437299674e-12,0.000117585,-5.885519420366544,0.000117585,-0.1008189530464877,0.000117585,-3.629284179468951e-05
0.0001203378,272724.5749257046,0.0001203378,-1.259527343619693e-16,0.0001203378,3.071804026874178e-11,0.0001203378,5.780124791946461e-12,0.0001203378,-5.87666399340119,0.0001203378,-0.1006489337563492,0.0001203378,-3.643061879170135e-05
0.0001231551,272169.947538983,0.0001231551,-1.244653089645048e-16,0.0001231551,3.060913275525846e-11,0.0001231551,5.756741810987683e-12,0.0001231551,-5.868095292012175,0.0001231551,-0.1004847162022793,0.0001231551,-3.656451524574444e-05
0.0001260383,271610.6587730105,0.0001260383,-1.229836487271763e-16,0.0001260383,3.049953301209749e-11,0.0001260383,5.73323485652323e-12,0.0001260383,-5.859446747895118,0.0001260383,-0.1003192782256001,0.0001260383,-3.670023053080561e-05
0.000128989,271039.9107264989,0.000128989,-1.214903597364755e-16,0.000128989,3.038791797482617e-11,0.000128989,5.709321103939172e-12,0.000128989,-5.8506126438281,0.000128989,-0.10015061336258,0.000128989,-3.683945027597164e-05
0.0001320088,270544.6853723367,0.0001320088,-1.202085466850688e-16,0.0001320088,3.029124844247407e-11,0.0001320088,5.68862871590522e-12,0.0001320088,-5.842942855175815,0.0001320088,-0.1000043742666138,0.0001320088,-3.696085391110202e-05
0.0001350994,270020.2199861968,0.0001350994,-1.188665773389384e-16,0.0001350994,3.018906360510759e-11,0.0001350994,5.66677704806968e-12,0.0001350994,-5.834812427199151,0.0001350994,-0.09984963678634756,0.0001350994,-3.709003335016978e-05
0.0001382622,269503.4915004086,0.0001382622,-1.175591953016186e-16,0.0001382622,3.008857310275106e-11,0.0001382622,5.645308256619229e-12,0.0001382622,-5.826795204472375,0.0001382622,-0.09969730443822988,0.0001382622,-3.721792769037496e-05
0.0001414991,268993.8187817233,0.0001414991,-1.162838699607064e-16,0.0001414991,2.998963560699288e-11,0.0001414991,5.624191116738645e-12,0.0001414991,-5.818880829996319,0.0001414991,-0.09954716849046602,0.0001414991,-3.734468392474372e-05
0.0001448118,268491.9099730357,0.0001448118,-1.150415774906097e-16,0.0001448118,2.989237978076435e-11,0.0001448118,5.603452066216463e-12,0.0001448118,-5.811080542740373,0.0001448118,-0.09939942968435513,0.0001448118,-3.747010439358151e-05
0.0001482021,268007.0461990109,0.0001482021,-1.138540597092403e-16,0.0001482021,2.979858977560432e-11,0.0001482021,5.58346992628183e-12,0.0001482021,-5.803539161297156,0.0001482021,-0.09925680812078931,0.0001482021,-3.759183126195731e-05
0.0001516717,267512.1264713206,0.0001516717,-1.126548199554938e-16,0.0001516717,2.970302163877281e-11,0.0001516717,5.563127298824696e-12,0.0001516717,-5.795834619023521,0.0001516717,-0.09911133272506459,0.0001516717,-3.77166585720932e-05
0.0001552225,267006.9752331356,0.0001552225,-1.114440690579421e-16,0.0001552225,2.960565094516952e-11,0.0001552225,5.542419978661749e-12,0.0001552225,-5.78796369348213,0.0001552225,-0.09896295561564245,0.0001552225,-3.784467113846034e-05
0.0001588565,266574.7031343862,0.0001588565,-1.104174807468943e-16,0.0001588565,2.952245722617379e-11,0.0001588565,5.524741510580474e-12,0.0001588565,-5.781224796781081,0.0001588565,-0.09883605065237852,0.0001588565,-3.795471043769641e-05
0.0001625756,266110.3947205714,0.0001625756,-1.093259184829784e-16,0.0001625756,2.943324286420859e-11,0.0001625756,5.505799643978253e-12,0.0001625756,-5.773979671780175,0.0001625756,-0.09869983067297251,0.0001625756,-3.80734080370277e-05
0.0001663817,265651.9502343558,0.0001663817,-1.082587219794416e-16,0.0001663817,2.934529676709077e-11,0.0001663817,5.487142499617453e-12,0.0001663817,-5.766820341157241,0.0001663817,-0.09856541089048808,0.0001663817,-3.819112527552146e-05
