kgds X,kgds Y,ids X,ids Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kcds X,kcds Y,rds X,rds Y,kcgd X,kcgd Y
2.070105,-0.4037399006031523,2.070105,-6.062445677321069e-06,2.070105,2.930837634593018e-10,2.070105,-14.41868227975807,2.070105,-2.143936906860717e-13,2.070105,408554.9418972536,2.070105,1.424565776682608e-10
2.160629,-0.4037399005934053,2.160629,-6.327550925325717e-06,2.160629,2.930837634386126e-10,2.160629,-14.41868227935487,2.160629,-2.143936906664393e-13,2.160629,391437.725392224,2.160629,1.424565776546311e-10
2.255111,-0.4037399005840675,2.255111,-6.60424898522631e-06,2.255111,2.930837634187932e-10,2.255111,-14.41868227896863,2.255111,-2.14393690647707e-13,2.255111,375037.6684935617,2.255111,1.424565776415744e-10
2.353725,-0.4037399005751215,2.353725,-6.893046800165913e-06,2.353725,2.930837633998058e-10,2.353725,-14.41868227859859,2.353725,-2.143936906297093e-13,2.353725,359324.7243824764,2.353725,1.424565776290656e-10
2.456652,-0.4037399005665496,2.456652,-7.194473481451184e-06,2.456652,2.930837633816117e-10,2.456652,-14.41868227824403,2.456652,-2.143936906124346e-13,2.456652,344270.1051110295,2.456652,1.424565776170797e-10
2.564079,-0.4037399005583369,2.564079,-7.509081277945956e-06,2.564079,2.930837633641804e-10,2.564079,-14.41868227790432,2.564079,-2.143936905959999e-13,2.564079,329846.2288592534,2.564079,1.424565776055961e-10
2.676204,-0.4037399005504689,2.676204,-7.837446587855522e-06,2.676204,2.930837633474812e-10,2.676204,-14.41868227757888,2.676204,-2.143936905800988e-13,2.676204,316026.6694020401,2.676204,1.424565775945948e-10
2.793232,-0.4037399005429291,2.793232,-8.180171014756119e-06,2.793232,2.930837633314754e-10,2.793232,-14.41868227726697,2.793232,-2.143936905649967e-13,2.793232,302786.1076931853,2.793232,1.424565775840505e-10
2.915377,-0.4037399005357064,2.915377,-8.537882469801489e-06,2.915377,2.930837633161454e-10,2.915377,-14.4186822769682,2.915377,-2.143936905505019e-13,2.915377,290100.2854779889,2.915377,1.424565775739513e-10
3.042864,-0.4037399005287861,3.042864,-8.911236322131013e-06,3.042864,2.930837633014569e-10,3.042864,-14.41868227668196,3.042864,-2.143936905365814e-13,3.042864,277945.9608492436,3.042864,1.424565775642747e-10
