kcgs_n X,kcgs_n Y,gmn X,gmn Y,kcgd_n X,kcgd_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y,kgds_n X,kgds_n Y
5e-08,-9.340291835874663e-09,5e-08,1.939592166043774e-05,5e-08,-6.945653750443527e-09,5e-08,2603118.007641249,5e-08,26.63811711463264,5e-08,7.281266005765599e-07,5e-08,0.5275932688817686
5.526049e-08,-8.512900136930178e-09,5.526049e-08,2.130591747587171e-05,5.526049e-08,-6.30760627257703e-09,5.526049e-08,2367726.161571521,5.526049e-08,26.5656589791908,5.526049e-08,8.020097484711709e-07,5.526049e-08,0.5266097310269939
6.107444e-08,-7.772270207388925e-09,6.107444e-08,2.336538656056375e-05,6.107444e-08,-5.737202421163685e-09,6.107444e-08,2157147.462951148,6.107444e-08,26.49145117923885,6.107444e-08,8.819972300677518e-07,6.107444e-08,0.5255970805095936
6.750007e-08,-7.091974392139554e-09,6.750007e-08,2.564190045430311e-05,6.750007e-08,-5.213976283568589e-09,6.750007e-08,1963846.315259366,6.750007e-08,26.41353691885598,6.750007e-08,9.707863257039984e-07,6.750007e-08,0.5245282115082486
7.460175e-08,-6.472408773280818e-09,7.460175e-08,2.813852295741139e-05,7.460175e-08,-4.738146275102397e-09,7.460175e-08,1787919.040409286,7.460175e-08,26.33240862165612,7.460175e-08,1.068589028892325e-06,7.460175e-08,0.5234093055532736
8.245059e-08,-5.906942493744272e-09,8.245059e-08,3.088258964696148e-05,8.245059e-08,-4.304531145475923e-09,8.245059e-08,1627466.814878957,8.245059e-08,26.24777109527288,8.245059e-08,1.176579509736859e-06,8.245059e-08,0.5222357247042061
9.11252e-08,-5.388282558564424e-09,9.11252e-08,3.391594658020983e-05,9.11252e-08,-3.907461427683121e-09,9.11252e-08,1480406.852039233,9.11252e-08,26.15901033739704,9.11252e-08,1.296530187601304e-06,9.11252e-08,0.5209982690114083
1.007125e-07,-4.931316694237017e-09,1.007125e-07,3.712856060379252e-05,1.007125e-07,-3.558228235739123e-09,1.007125e-07,1350942.50115717,1.007125e-07,26.06978673154986,1.007125e-07,1.424198862312105e-06,1.007125e-07,0.5197476094888538
1.113084e-07,-4.506460891458845e-09,1.113084e-07,4.071345069223973e-05,1.113084e-07,-3.234131118493869e-09,1.113084e-07,1230677.345026561,1.113084e-07,25.97528039698804,1.113084e-07,1.567392154001951e-06,1.113084e-07,0.5184156762566399
1.230192e-07,-4.118835102682499e-09,1.230192e-07,4.464553723483869e-05,1.230192e-07,-2.939022579700209e-09,1.230192e-07,1121052.596462959,1.230192e-07,25.87696406303989,1.230192e-07,1.725300430377997e-06,1.230192e-07,0.5170223061319209
1.35962e-07,-3.76327948828351e-09,1.35962e-07,4.898378966319441e-05,1.35962e-07,-2.668910743391158e-09,1.35962e-07,1020599.385993975,1.35962e-07,25.77413502521771,1.35962e-07,1.900501786588303e-06,1.35962e-07,0.515556676144784
1.502665e-07,-3.447607172497962e-09,1.502665e-07,5.360698720133947e-05,1.502665e-07,-2.429646828869168e-09,1.502665e-07,931511.9650254126,1.502665e-07,25.67022603614093,1.502665e-07,2.088294319102082e-06,1.502665e-07,0.5140671534171087
1.66076e-07,-3.155343047550371e-09,1.66076e-07,5.873758322094134e-05,1.66076e-07,-2.208668436820605e-09,1.66076e-07,849129.3404140868,1.66076e-07,25.56088147705685,1.66076e-07,2.297948264173265e-06,1.66076e-07,0.5124906018936031
1.835489e-07,-2.888029213194794e-09,1.835489e-07,6.436945822751975e-05,1.835489e-07,-2.007094932814473e-09,1.835489e-07,773879.8789169735,1.835489e-07,25.44715022030678,1.835489e-07,2.529535043030202e-06,1.835489e-07,0.5108409979761347
2.0286e-07,-2.647038048862753e-09,2.0286e-07,7.04559763194379e-05,2.0286e-07,-1.825893797144766e-09,2.0286e-07,706139.7053656009,2.0286e-07,25.33068821389663,2.0286e-07,2.781447378156316e-06,2.0286e-07,0.5091415261008015
2.242029e-07,-2.425883635379031e-09,2.242029e-07,7.714515493295551e-05,2.242029e-07,-1.660124519982364e-09,2.242029e-07,644076.035977823,2.242029e-07,25.20942157396358,2.242029e-07,3.060171559534369e-06,2.242029e-07,0.5073610046503277
2.477912e-07,-2.223594841998438e-09,2.477912e-07,8.447463888097599e-05,2.477912e-07,-1.509008690262057e-09,2.477912e-07,587409.0823321521,2.477912e-07,25.0835845587722,2.477912e-07,3.367725959702742e-06,2.477912e-07,0.5055016740936426
2.738613e-07,-2.040561875326692e-09,2.738613e-07,9.241038495536616e-05,2.738613e-07,-1.372776957611766e-09,2.738613e-07,536238.6157143118,2.738613e-07,24.95455514640397,2.738613e-07,3.703146957066986e-06,2.738613e-07,0.5035828920528143
3.026742e-07,-1.872741417651308e-09,3.026742e-07,0.0001011085816038781,3.026742e-07,-1.248361184169358e-09,3.026742e-07,489424.8744514227,3.026742e-07,24.82062090339287,3.026742e-07,4.073571809400504e-06,3.026742e-07,0.5015781224229845
3.345185e-07,-1.719258504712682e-09,3.345185e-07,0.0001106171851428853,3.345185e-07,-1.135063024079306e-09,3.345185e-07,446716.008776327,3.345185e-07,24.68199616704426,3.345185e-07,4.481695256503722e-06,3.345185e-07,0.4994892678438232
3.697132e-07,-1.578198980406749e-09,3.697132e-07,0.000121063119669243,3.697132e-07,-1.031421608248051e-09,3.697132e-07,407571.7349647306,3.697132e-07,24.53784149657059,3.697132e-07,4.933731424019624e-06,3.697132e-07,0.4973022654193269
4.086107e-07,-1.452108204343415e-09,4.086107e-07,0.000132200829029713,4.086107e-07,-9.392427785378949e-10,4.086107e-07,372686.7117726311,4.086107e-07,24.39227833952436,4.086107e-07,5.419781915799951e-06,4.086107e-07,0.495078743829493
4.516005e-07,-1.333892221431149e-09,4.516005e-07,0.0001446495229204193,4.516005e-07,-8.532896810754439e-10,4.516005e-07,340089.3222177675,4.516005e-07,24.23819054940275,4.516005e-07,5.967835042207126e-06,4.516005e-07,0.4927086571910844
4.991134e-07,-1.227818657954851e-09,4.991134e-07,0.0001579621156950532,4.991134e-07,-7.766184629001236e-10,4.991134e-07,310947.9005538488,4.991134e-07,24.08211596705319,4.991134e-07,6.559312143133999e-06,4.991134e-07,0.4902911708882771
5.51625e-07,-1.130550096540341e-09,5.51625e-07,0.0001724762624474986,5.51625e-07,-7.067530221418112e-10,5.51625e-07,284332.7245827274,5.51625e-07,23.92081880290969,5.51625e-07,7.210299273974638e-06,5.51625e-07,0.4877753646349831
6.096614e-07,-1.041382946512775e-09,6.096614e-07,0.0001882842200943521,6.096614e-07,-6.431396084299963e-10,6.096614e-07,260041.7242871751,6.096614e-07,23.75423420137299,6.096614e-07,7.926343509885464e-06,6.096614e-07,0.4851589786904424
6.738038e-07,-9.59645398782852e-10,6.738038e-07,0.0002054856423562741,6.738038e-07,-5.852500489811942e-10,6.738038e-07,237881.8470790097,6.738038e-07,23.58225781939159,6.738038e-07,8.71356949491512e-06,6.738038e-07,0.4824392112390437
7.446946e-07,-8.847054013562806e-10,7.446946e-07,0.0002241878481401928,7.446946e-07,-5.325876678995284e-10,7.446946e-07,217671.2967844556,7.446946e-07,23.40474672117107,7.446946e-07,9.578734211953712e-06,7.446946e-07,0.479612742070078
8.230438e-07,-8.15975002371931e-10,8.230438e-07,0.0002445059513634549,8.230438e-07,-4.846904235621856e-10,8.230438e-07,199240.7425412134,8.230438e-07,23.22152110551362,8.230438e-07,1.052928230896125e-05,8.230438e-07,0.4766757716984389
9.096361e-07,-7.529118790246673e-10,9.096361e-07,0.0002665628669892846,9.096361e-07,-4.411319127355236e-10,9.096361e-07,182433.733607316,9.096361e-07,23.03236650076563,9.096361e-07,1.157340332268609e-05,9.096361e-07,0.4736240700333448
1.005339e-06,-6.950188386147051e-10,1.005339e-06,0.0002904892116588055,1.005339e-06,-4.015208565527933e-10,1.005339e-06,167106.5457728265,1.005339e-06,22.8370362100851,1.005339e-06,1.272009244047711e-05,1.005339e-06,0.4704530304938822
1.11111e-06,-6.418419786833517e-10,1.11111e-06,0.0003164231144276357,1.11111e-06,-3.654995991190971e-10,1.11111e-06,153127.6555293271,1.11111e-06,22.63525395737586,1.11111e-06,1.397921644808968e-05,1.11111e-06,0.4671577277394235
