kcgd X,kcgd Y,ids X,ids Y,kcds X,kcds Y,rds X,rds Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kgds X,kgds Y
1.534186,5.360734317702726e-11,1.534186,-1.192543742080365e-05,1.534186,-9.669673337944642e-14,1.534186,258728.0403939169,1.534186,1.26123748185104e-10,1.534186,-9.168244375148339,1.534186,-0.3241023522582832
1.601274,5.360734317702726e-11,1.601274,-1.244692597615194e-05,1.601274,-9.669673337945953e-14,1.601274,247888.1179687633,1.601274,1.26123748185104e-10,1.601274,-9.168244375148339,1.601274,-0.3241023522582832
1.671296,5.360734317702725e-11,1.671296,-1.299121875274287e-05,1.671296,-9.669673337946248e-14,1.671296,237502.3555102079,1.671296,1.26123748185104e-10,1.671296,-9.168244375148339,1.671296,-0.3241023522582832
1.744381,5.360734317702726e-11,1.744381,-1.355931295847522e-05,1.744381,-9.669673337945074e-14,1.744381,227551.7250891583,1.744381,1.26123748185104e-10,1.744381,-9.168244375148339,1.744381,-0.3241023522582832
1.820661,5.360734317702726e-11,1.820661,-1.415224940824398e-05,1.820661,-9.669673337944974e-14,1.820661,218017.9959892085,1.820661,1.26123748185104e-10,1.820661,-9.16824437514834,1.820661,-0.3241023522582832
1.900277,5.360734317702726e-11,1.900277,-1.477111443083502e-05,1.900277,-9.669673337946114e-14,1.900277,208883.7013058325,1.900277,1.26123748185104e-10,1.900277,-9.168244375148339,1.900277,-0.3241023522582832
1.983374,5.360734317702727e-11,1.983374,-1.541704185920621e-05,1.983374,-9.669673337943222e-14,1.983374,200132.1059449779,1.983374,1.26123748185104e-10,1.983374,-9.168244375148339,1.983374,-0.3241023522582832
2.070105,5.360734317702726e-11,2.070105,-1.609121510780134e-05,2.070105,-9.669673337947094e-14,2.070105,191747.175962425,2.070105,1.26123748185104e-10,2.070105,-9.16824437514834,2.070105,-0.3241023522582832
2.160629,5.360734317702726e-11,2.160629,-1.679486934070417e-05,2.160629,-9.669673337947232e-14,2.160629,183713.5491877218,2.160629,1.26123748185104e-10,2.160629,-9.168244375148339,2.160629,-0.3241023522582832
2.255111,5.360734317702726e-11,2.255111,-1.752929373460262e-05,2.255111,-9.669673337945605e-14,2.255111,176016.5070789009,2.255111,1.26123748185104e-10,2.255111,-9.168244375148339,2.255111,-0.3241023522582832
2.353725,5.360734317702726e-11,2.353725,-1.829583384071125e-05,2.353725,-9.669673337945813e-14,2.353725,168641.9477563899,2.353725,1.26123748185104e-10,2.353725,-9.168244375148339,2.353725,-0.3241023522582832
2.456652,5.360734317702726e-11,2.456652,-1.90958940499779e-05,2.456652,-9.669673337944677e-14,2.456652,161576.3601667232,2.456652,1.26123748185104e-10,2.456652,-9.168244375148339,2.456652,-0.3241023522582832
