kgm_M12 X,kgm_M12 Y
0,0
0.05,7.256500972715003
0.1,8.451741114225637
0.15,9.145005895904507
0.2,9.295372724501897
0.25,9.333370465130336
0.3,9.338012658479277
0.35,9.328206211652397
0.4,9.311074791056532
0.45,9.289913584044751
