C_x X,C_x Y
0,-1.346491925180696e-14
0.05,-1.345687046927768e-14
0.1,-1.343210017628351e-14
0.15,-1.338892364764253e-14
0.2,-1.332526404171296e-14
0.25,-1.324008506441345e-14
0.3,-1.313489083124044e-14
0.35,-1.301799087121486e-14
0.4,-1.29142272263268e-14
0.45,-1.286214847268191e-14
