I_eff X,I_eff Y
0,0.001453733692743649
0.05,0.001460371785734467
0.1,0.001480634105533633
0.15,0.001515432730573489
0.2,0.001565544369421789
0.25,0.001630691591694136
0.3,0.001708195599003529
0.35,0.001791556307596377
0.4,0.001865539714499107
0.45,0.001906922106450181
