kgm_eff X,kgm_eff Y
0,5.560464779908918
0.05,5.644252006820069
0.1,5.835365938816564
0.15,6.011182488415137
0.2,6.070998798124212
0.25,5.938520582500641
0.3,5.468282507383339
0.35,4.586032373160773
0.4,3.573767679169007
0.45,2.544524249803225
0.5,1.580493598627108
