t_integ X,t_integ Y
5.000000000000001e-15,5.164466165864148e-11
1e-14,5.372188404979119e-11
1.5e-14,5.580561991196077e-11
2e-14,5.783274553553292e-11
2.5e-14,5.986919392595544e-11
3e-14,6.190389826026592e-11
3.5e-14,6.387550182379795e-11
4.000000000000001e-14,6.586235661207751e-11
4.5e-14,6.789911720185478e-11
5e-14,6.984266270161992e-11
