/M11/S X,/M11/S Y
0,0.002525781651917868
0.05,0.002425514189342096
0.1,0.002322766008816512
0.15,0.002217780043154372
0.2,0.002114775656870651
0.25,0.002004536568129292
0.3,0.001893277117657611
0.35,0.001781127408556933
0.4,0.001668243927731465
0.45,0.00155481417957853
0.5,0.001441062243616259
