/M14/D X,/M14/D Y
0,-0.003328971788808384
0.05,-0.003221816732286453
0.1,-0.003108933833278501
0.15,-0.002987269645088247
0.2,-0.002865183164738244
0.25,-0.002738242880966156
0.3,-0.002607948525667834
0.35,-0.002471578620950844
0.4,-0.00233275423170235
0.45,-0.002190872590325067
