kc_eff X,kc_eff Y
0,1.036967281884549e-10
0.05,1.028682934733807e-10
0.1,1.004887979754671e-10
0.15,9.66342842157622e-11
0.2,9.12066832658571e-11
0.25,8.421002844562519e-11
0.3,7.650213810157734e-11
0.35,7.015936398444112e-11
0.4,6.647512068486406e-11
0.45,6.525225327831467e-11
